Accession,Pangolin,Length,State,Collection_Date,Year,Month,Day,Country
OQ049758,BQ.1.1,29688,SD,2022-12-01,2022,12,1,USA
OP999083,BF.11,29748,SD,2022,2022,1,1,USA
OP999087,BF.13,29732,SD,2022,2022,1,1,USA
OP999093,BF.26,29746,SD,2022,2022,1,1,USA
OP999094,BA.5.1,29747,SD,2022,2022,1,1,USA
OP999101,BQ.1.15,29759,SD,2022,2022,1,1,USA
OP999107,BA.5.2.57,29762,SD,2022,2022,1,1,USA
OP926582,BF.13,29687,SD,2022-11-18,2022,11,18,USA
OP923786,BA.5.5,29681,SD,2022-10-08,2022,10,8,USA
OP867710,BA.5.2.9,29711,SD,2022-10-06,2022,10,6,USA
OP809441,BA.4.6,29712,SD,2022-10-31,2022,10,31,USA
OP805260,BA.4.1,29781,SD,2022-10-07,2022,10,7,USA
OP802397,BA.5.1,29756,SD,2022-10-11,2022,10,11,USA
OP802398,BF.26,29757,SD,2022-10-02,2022,10,2,USA
OP802409,BA.5.2,29753,SD,2022-10-23,2022,10,23,USA
OP802416,BA.5.1,29755,SD,2022-09-19,2022,9,19,USA
OP802431,BA.5.2.1,29753,SD,2022-09-20,2022,9,20,USA
OP802434,BA.5.2.31,29762,SD,2022-10-20,2022,10,20,USA
OP802460,BA.5.2.1,29757,SD,2022-08-24,2022,8,24,USA
OP777135,BA.5.5,29792,SD,2022-08-03,2022,8,3,USA
OP777138,BA.4.1.1,29781,SD,2022-08-04,2022,8,4,USA
OP777195,BA.4.1,29781,SD,2022-08-10,2022,8,10,USA
OP777271,BA.4,29781,SD,2022-08-18,2022,8,18,USA
OP738848,BA.5.2.28,29762,SD,2022-09-19,2022,9,19,USA
OP683916,BA.5.6,29739,SD,2022,2022,1,1,USA
OP683917,BA.5.1.5,29763,SD,2022,2022,1,1,USA
OP647054,BA.5.1,29721,SD,2022-07-12,2022,7,12,USA
OP647064,BA.5.5,29721,SD,2022-07-12,2022,7,12,USA
OP647070,BA.5.2,29658,SD,2022-07-13,2022,7,13,USA
OP647073,BA.5.2.1,29658,SD,2022-07-13,2022,7,13,USA
OP618767,BE.1,29790,SD,2022-09-12,2022,9,12,USA
OP618776,BA.5.2,29639,SD,2022-09-13,2022,9,13,USA
OP618785,BA.5.5,29790,SD,2022-09-13,2022,9,13,USA
OP620311,BA.5.1.6,29677,SD,2022-09-03,2022,9,3,USA
OP620321,BA.4.1,29779,SD,2022-09-05,2022,9,5,USA
OP620378,BA.4.6,29782,SD,2022-09-07,2022,9,7,USA
OP541417,BA.5.1.1,29757,SD,2022-08-09,2022,8,9,USA
OP541423,BA.4,29747,SD,2022-07-31,2022,7,31,USA
OP541424,BA.5.2,29762,SD,2022-08-07,2022,8,7,USA
OP541436,BA.5.2.3,29762,SD,2022-08-16,2022,8,16,USA
OP541438,BA.5.6,29763,SD,2022-08-24,2022,8,24,USA
OP541451,BF.10,29762,SD,2022-09-09,2022,9,9,USA
OP535855,BA.5.5,29657,SD,2022,2022,1,1,USA
OP535860,BF.10,29754,SD,2022,2022,1,1,USA
OP535868,BA.5.1.1,29756,SD,2022,2022,1,1,USA
OP535871,BA.4.6,29753,SD,2022,2022,1,1,USA
OP535875,BF.2,29756,SD,2022,2022,1,1,USA
OP505860,BA.5.1.33,29842,SD,2022-09-13,2022,9,13,USA
OP430615,BA.4.1,29775,SD,2022-07-27,2022,7,27,USA
OP392148,AY.3,29766,SD,2021-09-10,2021,9,10,USA
OP292502,BF.1,29805,SD,2022-07-20,2022,7,20,USA
OP292514,BA.4.6,29781,SD,2022-07-21,2022,7,21,USA
OP210496,BA.2,29785,SD,2022-07-06,2022,7,6,USA
OP210512,BA.2.12.1,29796,SD,2022-07-06,2022,7,6,USA
OP187048,BA.1.1,29747,SD,2022-01-11,2022,1,11,USA
OP187051,BA.1.15,29747,SD,2022-01-11,2022,1,11,USA
OP187054,BA.1.20,29747,SD,2022-01-11,2022,1,11,USA
OP187059,BA.1.1.18,29747,SD,2022-01-11,2022,1,11,USA
OP187066,AY.3,29764,SD,2022-01-11,2022,1,11,USA
OP161149,BA.1.18,29747,SD,2022-01-14,2022,1,14,USA
OP161156,BA.1,29747,SD,2022-01-14,2022,1,14,USA
OP161161,BA.1.17.2,29747,SD,2022-01-14,2022,1,14,USA
OP161165,BA.1.1.2,29747,SD,2022-01-14,2022,1,14,USA
OP121688,BA.2.2.1,29747,SD,2022-01-12,2022,1,12,USA
OP121749,AY.25,29764,SD,2022-01-11,2022,1,11,USA
OP123434,BA.4.1,29781,SD,2022-06-29,2022,6,29,USA
OP123443,BA.2.12.1,29796,SD,2022-06-29,2022,6,29,USA
OP131270,BA.4.1,29709,SD,2022,2022,1,1,USA
OP057151,BA.1.15.1,29747,SD,2022-01-10,2022,1,10,USA
OP015975,BA.2.13,29663,SD,2022-07-05,2022,7,5,USA
ON998286,BA.2.3,29796,SD,2022-06-13,2022,6,13,USA
ON998348,BA.2,29787,SD,2022-06-15,2022,6,15,USA
ON998425,BA.5.5,29790,SD,2022-06-21,2022,6,21,USA
ON998442,BA.4.2,29781,SD,2022-06-21,2022,6,21,USA
ON986686,AY.103,29764,SD,2022-01-04,2022,1,4,USA
ON986728,AY.67,29764,SD,2022-01-03,2022,1,3,USA
ON928188,BA.2.9,29781,SD,2022-06-07,2022,6,7,USA
ON928195,BA.2.23,29796,SD,2022-06-07,2022,6,7,USA
ON916500,BA.4.1.6,29583,SD,2022-06-16,2022,6,16,USA
ON925247,BA.2,29796,SD,2022-05-24,2022,5,24,USA
ON925253,BA.2.3,29796,SD,2022-05-25,2022,5,25,USA
ON925262,BA.2.12.1,29796,SD,2022-05-25,2022,5,25,USA
ON925267,BA.2.36,29796,SD,2022-05-25,2022,5,25,USA
ON886042,BA.2,29729,SD,2022-04-30,2022,4,30,USA
ON886045,BA.2.3,29729,SD,2022-04-25,2022,4,25,USA
ON886057,BA.2.13,29624,SD,2022-04-28,2022,4,28,USA
ON886059,BA.2.13,29729,SD,2022-05-04,2022,5,4,USA
ON886069,BA.2.18,29729,SD,2022-05-11,2022,5,11,USA
ON886096,BA.2.9,29729,SD,2022-05-16,2022,5,16,USA
ON886098,BA.2.12,29729,SD,2022-05-08,2022,5,8,USA
ON652485,B.1.243,29777,SD,2021-03-09,2021,3,9,USA
ON652512,B.1.2,29777,SD,2021-04-02,2021,4,2,USA
ON652516,B.1.2,29776,SD,2021-03-11,2021,3,11,USA
ON620604,BA.1.1,29807,SD,2022-04-12,2022,4,12,USA
ON620905,BA.4.1,29781,SD,2022-05-03,2022,5,3,USA
ON602257,B.1.2,29777,SD,2021-02-08,2021,2,8,USA
ON602258,B.1.2,29777,SD,2021-01-18,2021,1,18,USA
ON602259,B.1.324,29777,SD,2021-03-03,2021,3,3,USA
ON602264,B.1.243,29777,SD,2021-02-19,2021,2,19,USA
ON602288,B.1.429,29777,SD,2021-02-04,2021,2,4,USA
ON602298,B.1.400,29777,SD,2021-02-08,2021,2,8,USA
ON602301,B.1,29777,SD,2021-01-18,2021,1,18,USA
ON602322,B.1.565,29777,SD,2021-01-18,2021,1,18,USA
ON602327,B.1.324,29777,SD,2021-02-21,2021,2,21,USA
ON602366,B.1.382,29777,SD,2021-01-19,2021,1,19,USA
ON602370,B.1.595,29777,SD,2021-02-04,2021,2,4,USA
ON602371,B.1.234,29777,SD,2021-01-24,2021,1,24,USA
ON602389,B.1.568,29777,SD,2021-01-26,2021,1,26,USA
ON602397,B.1.588,29777,SD,2021-03-04,2021,3,4,USA
ON494431,BA.2.3.17,29796,SD,2022-04-20,2022,4,20,USA
ON455046,B.1.400,29777,SD,2021-01-31,2021,1,31,USA
ON455057,B.1.595,29777,SD,2021-01-19,2021,1,19,USA
ON333021,BA.1.1,29566,SD,2022-02-23,2022,2,23,USA
ON333022,BA.1,29638,SD,2022-02-23,2022,2,23,USA
ON333295,BA.1.1.18,29687,SD,2022-02-26,2022,2,26,USA
ON333324,BA.1,29720,SD,2022-03-02,2022,3,2,USA
ON337648,BA.1.1.8,29720,SD,2022-02-09,2022,2,9,USA
ON293930,BA.1.1,29871,SD,2022-03-31,2022,3,31,USA
ON166731,B.1.576,29777,SD,2020,2020,1,1,USA
ON166732,B.1.240,29777,SD,2020,2020,1,1,USA
ON166733,B.1.413,29777,SD,2020,2020,1,1,USA
ON166734,B.1.574,29777,SD,2020,2020,1,1,USA
ON166735,B.1.315,29777,SD,2020,2020,1,1,USA
ON166737,B.1,29777,SD,2020,2020,1,1,USA
ON166740,B.1.2,29777,SD,2020,2020,1,1,USA
ON166743,B.1.577,29777,SD,2020,2020,1,1,USA
ON166745,B.1.595,29777,SD,2020,2020,1,1,USA
ON166746,B.1.509,29777,SD,2020,2020,1,1,USA
ON166747,B.1.565,29777,SD,2020,2020,1,1,USA
ON166748,B.1.1.222,29777,SD,2020,2020,1,1,USA
ON166765,B.1.363,29777,SD,2020,2020,1,1,USA
ON167541,B.1.1.228,29777,SD,2020,2020,1,1,USA
ON167546,B.1.369,29777,SD,2020,2020,1,1,USA
ON167556,B.1.1,29774,SD,2020,2020,1,1,USA
ON167740,B.1.564,29777,SD,2020,2020,1,1,USA
ON167749,B.1.1.28,29777,SD,2020,2020,1,1,USA
ON168414,B.1.337,29777,SD,2020,2020,1,1,USA
ON168424,B.1.126,29777,SD,2020,2020,1,1,USA
ON168445,AY.3,29764,SD,2021,2021,1,1,USA
ON168560,B.1.243,29777,SD,2020,2020,1,1,USA
ON168588,AY.25,29764,SD,2021,2021,1,1,USA
ON065777,B.1.400,29777,SD,2020,2020,1,1,USA
ON065790,B.1.234,29777,SD,2020,2020,1,1,USA
ON065792,B.1.1.251,29777,SD,2020,2020,1,1,USA
ON065822,B.1.436,29777,SD,2020,2020,1,1,USA
ON065827,B.1.382,29777,SD,2020,2020,1,1,USA
ON065850,B.1.324,29777,SD,2020,2020,1,1,USA
ON065895,B.1.448,29777,SD,2020,2020,1,1,USA
ON067527,B.1.443,29777,SD,2020,2020,1,1,USA
ON067587,B.1.396,29777,SD,2020,2020,1,1,USA
ON067637,B.1.305,29777,SD,2020,2020,1,1,USA
ON067644,B.1.1.464,29777,SD,2020,2020,1,1,USA
ON067661,BA.1.1.8,29747,SD,2022,2022,1,1,USA
ON067754,B.1.1.285,29777,SD,2020,2020,1,1,USA
ON067757,B.1.349,29777,SD,2020,2020,1,1,USA
ON058138,BA.2.3,29850,SD,2022-03-01,2022,3,1,USA
ON001334,BA.1.20,29825,SD,2022-02-11,2022,2,11,USA
ON001343,BA.1.18,29825,SD,2022-02-13,2022,2,13,USA
ON001356,BA.1.1.17,29834,SD,2022-02-14,2022,2,14,USA
ON001362,BA.1.15,29822,SD,2022-02-14,2022,2,14,USA
ON001439,BA.1.15.2,29835,SD,2022-02-20,2022,2,20,USA
OM965567,BA.2,29803,SD,2022-02-08,2022,2,8,USA
OM913621,BA.2,29728,SD,2022,2022,1,1,USA
OM913666,C.8,29777,SD,2020,2020,1,1,USA
OM913680,B.1.582,29777,SD,2020,2020,1,1,USA
OM913686,B.1.401,29764,SD,2020,2020,1,1,USA
OM913709,B,29903,SD,2021,2021,1,1,USA
OM913710,AY.103,29764,SD,2021,2021,1,1,USA
OM913713,AY.44,29764,SD,2021,2021,1,1,USA
OM913717,BA.1,29747,SD,2021,2021,1,1,USA
OM913720,BA.1.15,29747,SD,2021,2021,1,1,USA
OM913722,B.1.617.2,29777,SD,2021,2021,1,1,USA
OM913723,AY.119,29764,SD,2021,2021,1,1,USA
OM913726,BA.1.1,29747,SD,2021,2021,1,1,USA
OM913731,BA.1.1.18,29747,SD,2021,2021,1,1,USA
OM913736,B.1.617.2,29777,SD,2022,2022,1,1,USA
OM913738,AY.119,29764,SD,2022,2022,1,1,USA
OM913741,AY.39,29764,SD,2022,2022,1,1,USA
OM913800,AY.44,29824,SD,2021-12-29,2021,12,29,USA
OM913814,AY.103,29824,SD,2021-12-29,2021,12,29,USA
OM913819,AY.25,29824,SD,2021-12-29,2021,12,29,USA
OM914000,B.1.427,29837,SD,2021-03-11,2021,3,11,USA
OM914003,B.1.429,29841,SD,2021-04-19,2021,4,19,USA
OM914006,B.1.526,29827,SD,2021-05-03,2021,5,3,USA
OM914043,AY.119,29824,SD,2021-12-01,2021,12,1,USA
OM914045,AY.118,29824,SD,2021-11-30,2021,11,30,USA
OM914046,AY.64,29828,SD,2021-12-02,2021,12,2,USA
OM914048,AY.3,29824,SD,2021-12-03,2021,12,3,USA
OM914051,AY.100,29827,SD,2021-12-01,2021,12,1,USA
OM914052,AY.117,29824,SD,2021-12-01,2021,12,1,USA
OM914059,AY.39,29827,SD,2021-12-01,2021,12,1,USA
OM914090,AY.116.1,29824,SD,2021-12-07,2021,12,7,USA
OM914112,AY.39.1,29824,SD,2021-12-10,2021,12,10,USA
OM914192,AY.25.1,29827,SD,2021-12-16,2021,12,16,USA
OM914304,AY.20,29824,SD,2021-12-20,2021,12,20,USA
OM914307,AY.67,29824,SD,2021-12-20,2021,12,20,USA
OM914320,B.1.617.2,29818,SD,2021-12-20,2021,12,20,USA
OM914327,BA.1.15,29807,SD,2021-12-21,2021,12,21,USA
OM914354,BA.1,29807,SD,2021-12-22,2021,12,22,USA
OM811810,B,29903,SD,2022,2022,1,1,USA
OM811892,AY.44,29887,SD,2022,2022,1,1,USA
OM799979,BA.1.1.17,29819,SD,2022-01-17,2022,1,17,USA
OM799980,AY.39.1,29845,SD,2022-01-17,2022,1,17,USA
OM764757,AY.100,29836,SD,2022-01-04,2022,1,4,USA
OM764967,BA.1.17.2,29770,SD,2022-02-01,2022,2,1,USA
OM704175,BA.1.1.14,29791,SD,2022-02-03,2022,2,3,USA
OM518769,B.1.1,29800,SD,2022-01-17,2022,1,17,USA
OM460837,AY.25,29854,SD,2021-11-30,2021,11,30,USA
OM460839,AY.3,29837,SD,2021-11-30,2021,11,30,USA
OM460969,BA.1.18,29789,SD,2021-12-23,2021,12,23,USA
OM460988,BA.1.1,29806,SD,2021-12-27,2021,12,27,USA
OM461036,BA.1.1.18,29807,SD,2021-12-28,2021,12,28,USA
OM389677,AY.103,29836,SD,2021-11-07,2021,11,7,USA
OM389682,AY.39.1,29836,SD,2021-11-07,2021,11,7,USA
OM389684,AY.39,29858,SD,2021-11-07,2021,11,7,USA
OM389686,AY.67,29836,SD,2021-11-08,2021,11,8,USA
OM389687,AY.107,29783,SD,2021-11-08,2021,11,8,USA
OM389690,AY.44,29815,SD,2021-11-08,2021,11,8,USA
OM352837,BA.1.20,29790,SD,2021-12-30,2021,12,30,USA
OM328538,AY.119,29844,SD,2021-11-29,2021,11,29,USA
OM328543,AY.100,29783,SD,2021-11-29,2021,11,29,USA
OM328557,AY.27,29806,SD,2021-12-01,2021,12,1,USA
OM328563,AY.75,29815,SD,2021-12-01,2021,12,1,USA
OM328659,BA.1.1.8,29808,SD,2021-12-20,2021,12,20,USA
OM333091,B,29828,SD,2021-12-29,2021,12,29,USA
OM334985,AY.125,29811,SD,2021-12-29,2021,12,29,USA
OM339503,AY.100,29761,SD,2021,2021,1,1,USA
OM258994,AY.122,29785,SD,2021-12-10,2021,12,10,USA
OM198545,AY.3.3,29816,SD,2021-12-23,2021,12,23,USA
OM075165,AY.118,29766,SD,2021-12-08,2021,12,8,USA
OM081913,AY.26,29836,SD,2021-11-15,2021,11,15,USA
OM081915,AY.83,29853,SD,2021-11-15,2021,11,15,USA
OM081952,AY.16,29852,SD,2021-11-18,2021,11,18,USA
OM082001,AY.47,29836,SD,2021-11-23,2021,11,23,USA
OM082043,AY.116.1,29836,SD,2021-11-26,2021,11,26,USA
OM051255,AY.54,29809,SD,2021-12-15,2021,12,15,USA
OM034442,BA.1.13,29808,SD,2021-12-10,2021,12,10,USA
OM006922,AY.117,29766,SD,2021-11-30,2021,11,30,USA
OM001182,AY.129,29825,SD,2021-11-15,2021,11,15,USA
OL936205,AY.47,29804,SD,2021-12-03,2021,12,3,USA
OL899322,AY.46.4,29769,SD,2021,2021,1,1,USA
OL899493,AY.118,29769,SD,2021,2021,1,1,USA
OL899501,AY.25.1,29769,SD,2021,2021,1,1,USA
OL899511,AY.39,29769,SD,2021,2021,1,1,USA
OL921535,B.1.1,29822,SD,2021-11-10,2021,11,10,USA
OL879007,AY.25.1,29809,SD,2021-11-07,2021,11,7,USA
OL765016,AY.25,29836,SD,2021-10-30,2021,10,30,USA
OL765018,AY.25.1,29836,SD,2021-10-30,2021,10,30,USA
OL765020,AY.39,29836,SD,2021-10-30,2021,10,30,USA
OL765024,AY.103,29837,SD,2021-10-30,2021,10,30,USA
OL765033,AY.44,29851,SD,2021-10-31,2021,10,31,USA
OL765080,AY.121,29836,SD,2021-11-01,2021,11,1,USA
OL765087,AY.114,29783,SD,2021-11-02,2021,11,2,USA
OL607289,B.1.617.2,29842,SD,2021-10-04,2021,10,4,USA
OK492514,B.1.617.2,29812,SD,2021-09-20,2021,9,20,USA
OK219381,B.1.1.7,29795,SD,2021-04-19,2021,4,19,USA
OK220711,B.1.1.7,29842,SD,2021-03-30,2021,3,30,USA
OK187484,B.1.1.7,29830,SD,2021-06-07,2021,6,7,USA
OK187994,R.1,29818,SD,2021-06-29,2021,6,29,USA
OK188078,B.1.1.7,29848,SD,2021-07-01,2021,7,1,USA
OK103300,B.1.617.2,29793,SD,2021-08-24,2021,8,24,USA
OK045058,AY.35,29843,SD,2021-07-21,2021,7,21,USA
OK045155,B.1.617.2,29812,SD,2021-07-23,2021,7,23,USA
MZ611532,B.1.369,29832,SD,2020-08-31,2020,8,31,USA
MZ611533,B.1.2,29846,SD,2020-08-30,2020,8,30,USA
MZ611534,B.1.240,29798,SD,2020-08-29,2020,8,29,USA
MZ611535,B.1.565,29800,SD,2020-09-02,2020,9,2,USA
MZ611540,B.1.240,29831,SD,2020-09-09,2020,9,9,USA
MZ611542,B.1,29764,SD,2020-09-08,2020,9,8,USA
MZ444206,B.1.1.7,29796,SD,2021-05-13,2021,5,13,USA
MZ444212,B.1.1.251,29813,SD,2020-09-09,2020,9,9,USA
MZ444230,B.1.2,29839,SD,2020-09-15,2020,9,15,USA
MZ372437,B.1.637,29705,SD,2021-05-23,2021,5,23,USA
MZ346444,B.1.595.4,29821,SD,2020-09-23,2020,9,23,USA
MZ346450,B.1.577,29648,SD,2020-09-24,2020,9,24,USA
MZ214018,B.1,29861,SD,2021-04-13,2021,4,13,USA
MZ206182,B.1.526,29836,SD,2021-04-26,2021,4,26,USA
MZ164637,B.1.1.519,29874,SD,2021-04-18,2021,4,18,USA
MZ164645,B.1.243,29866,SD,2021-04-19,2021,4,19,USA
MZ064597,B.1.429,29813,SD,2021-03-23,2021,3,23,USA
MZ064600,B.1.637.1,29787,SD,2021-04-01,2021,4,1,USA
MW991268,B.1.1.519,29887,SD,2021-03-31,2021,3,31,USA
MW915958,B.1.400,29818,SD,2021-03-10,2021,3,10,USA
MW873947,B.1.234,29813,SD,2021-03-01,2021,3,1,USA
MW844257,B.1.1.7,29851,SD,2021-02-28,2021,2,28,USA
MW849825,B.1.351,29749,SD,2021-03-04,2021,3,4,USA
MW788456,B.1.2,29846,SD,2020-11-09,2020,11,9,USA
MW788462,B.1.369,29850,SD,2020-11-16,2020,11,16,USA
MW792844,B.1.565,29861,SD,2021-03-03,2021,3,3,USA
MW792846,B.1.568,29867,SD,2021-03-02,2021,3,2,USA
MW783660,B.1.2,29827,SD,2020-10-07,2020,10,7,USA
MW783661,B.1,29850,SD,2020-10-06,2020,10,6,USA
MW748182,B.1.240,29841,SD,2020-11-23,2020,11,23,USA
MW748184,B.1.565,29819,SD,2020-11-23,2020,11,23,USA
MW748188,B.1.565,29815,SD,2020-12-04,2020,12,4,USA
MW748189,B.1.2,29813,SD,2020-12-07,2020,12,7,USA
MW748211,B.1.400,29834,SD,2020-12-28,2020,12,28,USA
MW748214,B.1,29839,SD,2020-12-29,2020,12,29,USA
MW638198,B.1.409,29714,SD,2021-01-10,2021,1,10,USA
MW550624,B.1.587,29868,SD,2020-12-15,2020,12,15,USA
OQ352326,BA.5.2,29625,UT,2022-11-09,2022,11,9,USA
OQ352327,BE.1.1.1,29625,UT,2022-11-09,2022,11,9,USA
OQ352330,BA.5.2.1,29625,UT,2022-11-09,2022,11,9,USA
OQ352335,BF.25,29658,UT,2022-11-09,2022,11,9,USA
OQ318713,CM.8.1,29808,UT,2022-11-18,2022,11,18,USA
OQ325491,BA.5.2.18,29718,UT,2022-11-01,2022,11,1,USA
OQ325568,BE.1.1,29718,UT,2022-11-01,2022,11,1,USA
OQ325726,BA.5.1.30,29718,UT,2022-11-02,2022,11,2,USA
OQ305083,BQ.1,29635,UT,2022-12-25,2022,12,25,USA
OQ305091,BF.7.5,29651,UT,2022-12-30,2022,12,30,USA
OQ297804,BQ.1.1.4,29715,UT,2022-12-29,2022,12,29,USA
OQ297809,BQ.1.1.28,29718,UT,2022-12-29,2022,12,29,USA
OQ297813,BE.1.1.1,29718,UT,2022-12-29,2022,12,29,USA
OQ297818,BQ.1.1,29718,UT,2022-12-29,2022,12,29,USA
OQ297867,BQ.1.1.5,29718,UT,2022-12-30,2022,12,30,USA
OQ274618,BQ.1.1.32,29715,UT,2022-12-31,2022,12,31,USA
OQ265016,BQ.1.8,29715,UT,2022-12-26,2022,12,26,USA
OQ265020,BQ.1.12,29718,UT,2022-12-26,2022,12,26,USA
OQ242431,BA.5.2.1,29718,UT,2022-12-21,2022,12,21,USA
OQ242504,DB.1,29718,UT,2022-12-21,2022,12,21,USA
OQ242522,BQ.1.9,29718,UT,2022-12-21,2022,12,21,USA
OQ242538,BQ.1.11,29718,UT,2022-12-21,2022,12,21,USA
OQ242541,BQ.1.1.3,29703,UT,2022-12-21,2022,12,21,USA
OQ225112,BF.14,29642,UT,2022-12-13,2022,12,13,USA
OQ196648,BQ.1.13.1,29715,UT,2022-12-17,2022,12,17,USA
OQ196650,BF.7.4.1,29718,UT,2022-12-17,2022,12,17,USA
OQ196759,BQ.1.1.6,29718,UT,2022-12-18,2022,12,18,USA
OQ197098,EF.1,29715,UT,2022-12-19,2022,12,19,USA
OQ187042,BA.5.2.47,29720,UT,2022-12-16,2022,12,16,USA
OQ187056,BQ.1.3,29720,UT,2022-12-16,2022,12,16,USA
OQ187063,BQ.1.1.60,29625,UT,2022-12-17,2022,12,17,USA
OQ165343,BQ.1.1.66,29720,UT,2022-12-13,2022,12,13,USA
OQ173602,BQ.1.29,29718,UT,2022-12-14,2022,12,14,USA
OQ173618,BQ.1.1.69,29718,UT,2022-12-14,2022,12,14,USA
OQ173627,BQ.1.1.41,29718,UT,2022-12-14,2022,12,14,USA
OQ173859,BA.5.2.20,29718,UT,2022-12-15,2022,12,15,USA
OQ157718,BA.5.2.58,29657,UT,2022-12-12,2022,12,12,USA
OQ157836,BF.11,29678,UT,2022-12-13,2022,12,13,USA
OQ164678,BA.5.2.7,29635,UT,2022-12-05,2022,12,5,USA
OQ164689,CH.1.1,29796,UT,2022-12-07,2022,12,7,USA
OQ140001,BN.1.5,29724,UT,2022-12-06,2022,12,6,USA
OQ140093,BQ.1.5,29718,UT,2022-12-06,2022,12,6,USA
OQ140378,BA.5.1.10,29709,UT,2022-12-06,2022,12,6,USA
OQ140480,BQ.1.1.51,29718,UT,2022-12-07,2022,12,7,USA
OQ140486,BA.4.6,29709,UT,2022-12-07,2022,12,7,USA
OQ140608,BF.26,29718,UT,2022-12-07,2022,12,7,USA
OQ141632,BQ.1.1.38,29718,UT,2022-12-09,2022,12,9,USA
OQ142726,BA.5.2,29718,UT,2022-12-10,2022,12,10,USA
OQ142764,BF.7,29718,UT,2022-12-10,2022,12,10,USA
OQ142859,ED.3,29718,UT,2022-12-10,2022,12,10,USA
OQ143344,BA.5.1.3,29718,UT,2022-12-11,2022,12,11,USA
OQ143356,BQ.1.1.10,29715,UT,2022-12-11,2022,12,11,USA
OQ143495,BQ.1.15,29718,UT,2022-12-12,2022,12,12,USA
OQ118544,BQ.1.23,29717,UT,2022-12-08,2022,12,8,USA
OQ109583,XBB.2,29724,UT,2022-12-07,2022,12,7,USA
OQ116053,BQ.1.14,29718,UT,2022-12-03,2022,12,3,USA
OQ116186,BA.5.2.34,29715,UT,2022-12-05,2022,12,5,USA
OQ080295,BA.5.1.18,29672,UT,2022-12-01,2022,12,1,USA
OQ080468,BA.5.2.35,29592,UT,2022-12-03,2022,12,3,USA
OQ080469,BQ.1.2,29625,UT,2022-12-03,2022,12,3,USA
OQ080900,ED.2,29655,UT,2022-12-05,2022,12,5,USA
OQ080999,CM.8.1,29663,UT,2022-12-05,2022,12,5,USA
OQ085226,BQ.1.13.1,29715,UT,2022-11-29,2022,11,29,USA
OQ085275,XBD,29724,UT,2022-11-29,2022,11,29,USA
OQ085384,BQ.1.1,29718,UT,2022-11-29,2022,11,29,USA
OQ085438,BQ.1.1.68,29715,UT,2022-11-29,2022,11,29,USA
OQ085534,EE.2,29715,UT,2022-11-30,2022,11,30,USA
OQ085599,BQ.1.1.18,29718,UT,2022-11-30,2022,11,30,USA
OQ085711,BQ.1.1.28,29709,UT,2022-11-30,2022,11,30,USA
