Accession,Pangolin,Protein,Length,Country,Collection_Date,Year,Month,Day
WCT80390,BQ.1,surface glycoprotein,1268,France,2022-12-05,2022,12,5
WCT80391,BQ.1,ORF3a protein,275,France,2022-12-05,2022,12,5
WCT80392,BQ.1,envelope protein,75,France,2022-12-05,2022,12,5
WCT80393,BQ.1,membrane glycoprotein,222,France,2022-12-05,2022,12,5
WCT80394,BQ.1,ORF6 protein,61,France,2022-12-05,2022,12,5
WCT80395,BQ.1,ORF7a protein,121,France,2022-12-05,2022,12,5
WCT80396,BQ.1,ORF7b protein,43,France,2022-12-05,2022,12,5
WCT80397,BQ.1,ORF8 protein,121,France,2022-12-05,2022,12,5
WCT80398,BQ.1,nucleocapsid phosphoprotein,416,France,2022-12-05,2022,12,5
WCT80399,BQ.1,ORF10 protein,38,France,2022-12-05,2022,12,5
WCT80532,BA.5.2.33,ORF1ab polyprotein,7093,France,2022-10-21,2022,10,21
WCT80533,BA.5.2.33,ORF1a polyprotein,4402,France,2022-10-21,2022,10,21
WCT80534,BA.5.2.33,surface glycoprotein,1268,France,2022-10-21,2022,10,21
WCT80535,BA.5.2.33,ORF3a protein,275,France,2022-10-21,2022,10,21
WCT80536,BA.5.2.33,envelope protein,75,France,2022-10-21,2022,10,21
WCT80537,BA.5.2.33,membrane glycoprotein,222,France,2022-10-21,2022,10,21
WCT80538,BA.5.2.33,ORF6 protein,61,France,2022-10-21,2022,10,21
WCT80539,BA.5.2.33,ORF7a protein,121,France,2022-10-21,2022,10,21
WCT80540,BA.5.2.33,ORF7b protein,43,France,2022-10-21,2022,10,21
WCT80541,BA.5.2.33,ORF8 protein,121,France,2022-10-21,2022,10,21
WCT80542,BA.5.2.33,nucleocapsid phosphoprotein,416,France,2022-10-21,2022,10,21
WCT80543,BA.5.2.33,ORF10 protein,38,France,2022-10-21,2022,10,21
WCT80544,BF.7,ORF1ab polyprotein,7092,France,2022-10-04,2022,10,4
WCT80545,BF.7,ORF1a polyprotein,4401,France,2022-10-04,2022,10,4
WCT80546,BF.7,surface glycoprotein,1268,France,2022-10-04,2022,10,4
WCT80547,BF.7,ORF3a protein,275,France,2022-10-04,2022,10,4
WCT80548,BF.7,envelope protein,75,France,2022-10-04,2022,10,4
WCT80549,BF.7,membrane glycoprotein,222,France,2022-10-04,2022,10,4
WCT80550,BF.7,ORF6 protein,61,France,2022-10-04,2022,10,4
WCT80551,BF.7,ORF7a protein,121,France,2022-10-04,2022,10,4
WCT80552,BF.7,ORF7b protein,43,France,2022-10-04,2022,10,4
WCT80553,BF.7,ORF8 protein,121,France,2022-10-04,2022,10,4
WCT80554,BF.7,nucleocapsid phosphoprotein,416,France,2022-10-04,2022,10,4
WCT80555,BF.7,ORF10 protein,38,France,2022-10-04,2022,10,4
WCT80591,BE.1.1,ORF1ab polyprotein,7093,France,2022-10-05,2022,10,5
WCT80592,BE.1.1,ORF1a polyprotein,4402,France,2022-10-05,2022,10,5
WCT80593,BE.1.1,surface glycoprotein,1268,France,2022-10-05,2022,10,5
WCT80594,BE.1.1,ORF3a protein,275,France,2022-10-05,2022,10,5
WCT80595,BE.1.1,envelope protein,75,France,2022-10-05,2022,10,5
WCT80596,BE.1.1,membrane glycoprotein,222,France,2022-10-05,2022,10,5
WCT80597,BE.1.1,ORF6 protein,61,France,2022-10-05,2022,10,5
WCT80598,BE.1.1,ORF7a protein,121,France,2022-10-05,2022,10,5
WCT80599,BE.1.1,ORF7b protein,43,France,2022-10-05,2022,10,5
WCT80600,BE.1.1,ORF8 protein,121,France,2022-10-05,2022,10,5
WCT80601,BE.1.1,nucleocapsid phosphoprotein,416,France,2022-10-05,2022,10,5
WCT80602,BE.1.1,ORF10 protein,38,France,2022-10-05,2022,10,5
WCT80651,BQ.1.5,ORF1ab polyprotein,7093,France,2022-11-17,2022,11,17
WCT80652,BQ.1.5,ORF1a polyprotein,4402,France,2022-11-17,2022,11,17
WCT80653,BQ.1.5,surface glycoprotein,1267,France,2022-11-17,2022,11,17
WCT80654,BQ.1.5,ORF3a protein,275,France,2022-11-17,2022,11,17
WCT80655,BQ.1.5,envelope protein,75,France,2022-11-17,2022,11,17
WCT80656,BQ.1.5,membrane glycoprotein,222,France,2022-11-17,2022,11,17
WCT80657,BQ.1.5,ORF6 protein,61,France,2022-11-17,2022,11,17
WCT80658,BQ.1.5,ORF7a protein,121,France,2022-11-17,2022,11,17
WCT80659,BQ.1.5,ORF7b protein,43,France,2022-11-17,2022,11,17
WCT80660,BQ.1.5,ORF8 protein,121,France,2022-11-17,2022,11,17
WCT80661,BQ.1.5,nucleocapsid phosphoprotein,416,France,2022-11-17,2022,11,17
WCT80662,BQ.1.5,ORF10 protein,38,France,2022-11-17,2022,11,17
WCT80675,CE.1,ORF1ab polyprotein,7093,France,2022-09-29,2022,9,29
WCT80676,CE.1,ORF1a polyprotein,4402,France,2022-09-29,2022,9,29
WCT80677,CE.1,surface glycoprotein,1268,France,2022-09-29,2022,9,29
WCT80678,CE.1,ORF3a protein,275,France,2022-09-29,2022,9,29
WCT80679,CE.1,envelope protein,75,France,2022-09-29,2022,9,29
WCT80680,CE.1,membrane glycoprotein,222,France,2022-09-29,2022,9,29
WCT80681,CE.1,ORF6 protein,61,France,2022-09-29,2022,9,29
WCT80682,CE.1,ORF7a protein,121,France,2022-09-29,2022,9,29
WCT80683,CE.1,ORF7b protein,43,France,2022-09-29,2022,9,29
WCT80684,CE.1,ORF8 protein,121,France,2022-09-29,2022,9,29
WCT80685,CE.1,nucleocapsid phosphoprotein,416,France,2022-09-29,2022,9,29
WCT80686,CE.1,ORF10 protein,38,France,2022-09-29,2022,9,29
WCT80711,BA.5.2.6,ORF1ab polyprotein,7093,France,2022-10-07,2022,10,7
WCT80712,BA.5.2.6,ORF1a polyprotein,4402,France,2022-10-07,2022,10,7
WCT80713,BA.5.2.6,surface glycoprotein,1268,France,2022-10-07,2022,10,7
WCT80714,BA.5.2.6,ORF3a protein,275,France,2022-10-07,2022,10,7
WCT80715,BA.5.2.6,envelope protein,75,France,2022-10-07,2022,10,7
WCT80716,BA.5.2.6,membrane glycoprotein,222,France,2022-10-07,2022,10,7
WCT80717,BA.5.2.6,ORF6 protein,61,France,2022-10-07,2022,10,7
WCT80718,BA.5.2.6,ORF7a protein,121,France,2022-10-07,2022,10,7
WCT80719,BA.5.2.6,ORF7b protein,43,France,2022-10-07,2022,10,7
WCT80720,BA.5.2.6,ORF8 protein,121,France,2022-10-07,2022,10,7
WCT80721,BA.5.2.6,nucleocapsid phosphoprotein,416,France,2022-10-07,2022,10,7
WCT80722,BA.5.2.6,ORF10 protein,38,France,2022-10-07,2022,10,7
WCT80735,BQ.1.1.18,ORF1ab polyprotein,7093,France,2022-11-07,2022,11,7
WCT80736,BQ.1.1.18,ORF1a polyprotein,4402,France,2022-11-07,2022,11,7
WCT80737,BQ.1.1.18,surface glycoprotein,1268,France,2022-11-07,2022,11,7
WCT80738,BQ.1.1.18,ORF3a protein,275,France,2022-11-07,2022,11,7
WCT80739,BQ.1.1.18,envelope protein,75,France,2022-11-07,2022,11,7
WCT80740,BQ.1.1.18,membrane glycoprotein,222,France,2022-11-07,2022,11,7
WCT80741,BQ.1.1.18,ORF6 protein,61,France,2022-11-07,2022,11,7
WCT80742,BQ.1.1.18,ORF7a protein,121,France,2022-11-07,2022,11,7
WCT80743,BQ.1.1.18,ORF7b protein,43,France,2022-11-07,2022,11,7
WCT80744,BQ.1.1.18,ORF8 protein,121,France,2022-11-07,2022,11,7
WCT80745,BQ.1.1.18,nucleocapsid phosphoprotein,416,France,2022-11-07,2022,11,7
WCT80746,BQ.1.1.18,ORF10 protein,38,France,2022-11-07,2022,11,7
WCT80830,BE.1.1.1,ORF1ab polyprotein,7093,France,2022-10-17,2022,10,17
WCT80831,BE.1.1.1,ORF1a polyprotein,4402,France,2022-10-17,2022,10,17
WCT80832,BE.1.1.1,surface glycoprotein,1268,France,2022-10-17,2022,10,17
WCT80833,BE.1.1.1,ORF3a protein,275,France,2022-10-17,2022,10,17
WCT80834,BE.1.1.1,envelope protein,75,France,2022-10-17,2022,10,17
WCT80835,BE.1.1.1,membrane glycoprotein,222,France,2022-10-17,2022,10,17
WCT80836,BE.1.1.1,ORF6 protein,61,France,2022-10-17,2022,10,17
WCT80837,BE.1.1.1,ORF7a protein,121,France,2022-10-17,2022,10,17
WCT80838,BE.1.1.1,ORF7b protein,43,France,2022-10-17,2022,10,17
WCT80839,BE.1.1.1,ORF8 protein,121,France,2022-10-17,2022,10,17
WCT80840,BE.1.1.1,nucleocapsid phosphoprotein,416,France,2022-10-17,2022,10,17
WCT80841,BE.1.1.1,ORF10 protein,38,France,2022-10-17,2022,10,17
WCT80842,BF.7,ORF1ab polyprotein,7093,France,2022-09-18,2022,9,18
WCT80843,BF.7,ORF1a polyprotein,4402,France,2022-09-18,2022,9,18
WCT80844,BF.7,surface glycoprotein,1268,France,2022-09-18,2022,9,18
WCT80845,BF.7,ORF3a protein,275,France,2022-09-18,2022,9,18
WCT80846,BF.7,envelope protein,75,France,2022-09-18,2022,9,18
WCT80847,BF.7,membrane glycoprotein,222,France,2022-09-18,2022,9,18
WCT80848,BF.7,ORF6 protein,61,France,2022-09-18,2022,9,18
WCT80849,BF.7,ORF7a protein,121,France,2022-09-18,2022,9,18
WCT80850,BF.7,ORF7b protein,43,France,2022-09-18,2022,9,18
WCT80851,BF.7,ORF8 protein,121,France,2022-09-18,2022,9,18
WCT80852,BF.7,nucleocapsid phosphoprotein,416,France,2022-09-18,2022,9,18
WCT80853,BF.7,ORF10 protein,38,France,2022-09-18,2022,9,18
WCT80925,BA.5.2,ORF1ab polyprotein,7093,France,2022-08-11,2022,8,11
WCT80926,BA.5.2,ORF1a polyprotein,4402,France,2022-08-11,2022,8,11
WCT80927,BA.5.2,surface glycoprotein,1268,France,2022-08-11,2022,8,11
WCT80928,BA.5.2,ORF3a protein,275,France,2022-08-11,2022,8,11
WCT80929,BA.5.2,envelope protein,75,France,2022-08-11,2022,8,11
WCT80930,BA.5.2,membrane glycoprotein,222,France,2022-08-11,2022,8,11
WCT80931,BA.5.2,ORF6 protein,61,France,2022-08-11,2022,8,11
WCT80932,BA.5.2,ORF7a protein,121,France,2022-08-11,2022,8,11
WCT80933,BA.5.2,ORF7b protein,43,France,2022-08-11,2022,8,11
WCT80934,BA.5.2,ORF8 protein,121,France,2022-08-11,2022,8,11
WCT80935,BA.5.2,nucleocapsid phosphoprotein,416,France,2022-08-11,2022,8,11
WCT80936,BA.5.2,ORF10 protein,38,France,2022-08-11,2022,8,11
WCT80949,BA.5.1.8,ORF1ab polyprotein,7093,France,2022-09-09,2022,9,9
WCT80950,BA.5.1.8,ORF1a polyprotein,4402,France,2022-09-09,2022,9,9
WCT80951,BA.5.1.8,surface glycoprotein,1268,France,2022-09-09,2022,9,9
WCT80952,BA.5.1.8,ORF3a protein,275,France,2022-09-09,2022,9,9
WCT80953,BA.5.1.8,envelope protein,75,France,2022-09-09,2022,9,9
WCT80954,BA.5.1.8,membrane glycoprotein,222,France,2022-09-09,2022,9,9
WCT80955,BA.5.1.8,ORF6 protein,61,France,2022-09-09,2022,9,9
WCT80956,BA.5.1.8,ORF7a protein,121,France,2022-09-09,2022,9,9
WCT80957,BA.5.1.8,ORF7b protein,43,France,2022-09-09,2022,9,9
WCT80958,BA.5.1.8,ORF8 protein,121,France,2022-09-09,2022,9,9
WCT80959,BA.5.1.8,nucleocapsid phosphoprotein,416,France,2022-09-09,2022,9,9
WCT80960,BA.5.1.8,ORF10 protein,38,France,2022-09-09,2022,9,9
WCT80972,BA.5.1,ORF1ab polyprotein,7093,France,2022-07-21,2022,7,21
WCT80973,BA.5.1,ORF1a polyprotein,4402,France,2022-07-21,2022,7,21
WCT80974,BA.5.1,surface glycoprotein,1268,France,2022-07-21,2022,7,21
WCT80975,BA.5.1,ORF3a protein,275,France,2022-07-21,2022,7,21
WCT80976,BA.5.1,envelope protein,75,France,2022-07-21,2022,7,21
WCT80977,BA.5.1,membrane glycoprotein,222,France,2022-07-21,2022,7,21
WCT80978,BA.5.1,ORF6 protein,61,France,2022-07-21,2022,7,21
WCT80979,BA.5.1,ORF7a protein,121,France,2022-07-21,2022,7,21
WCT80980,BA.5.1,ORF7b protein,43,France,2022-07-21,2022,7,21
WCT80981,BA.5.1,ORF8 protein,121,France,2022-07-21,2022,7,21
WCT80982,BA.5.1,nucleocapsid phosphoprotein,416,France,2022-07-21,2022,7,21
WCT80983,BA.5.1,ORF10 protein,38,France,2022-07-21,2022,7,21
WCT81031,BA.5.1.2,ORF1ab polyprotein,7093,France,2022-07-15,2022,7,15
WCT81032,BA.5.1.2,ORF1a polyprotein,4402,France,2022-07-15,2022,7,15
WCT81033,BA.5.1.2,surface glycoprotein,1268,France,2022-07-15,2022,7,15
WCT81034,BA.5.1.2,ORF3a protein,275,France,2022-07-15,2022,7,15
WCT81035,BA.5.1.2,envelope protein,75,France,2022-07-15,2022,7,15
WCT81036,BA.5.1.2,membrane glycoprotein,222,France,2022-07-15,2022,7,15
WCT81037,BA.5.1.2,ORF6 protein,61,France,2022-07-15,2022,7,15
WCT81038,BA.5.1.2,ORF7a protein,121,France,2022-07-15,2022,7,15
WCT81039,BA.5.1.2,ORF7b protein,43,France,2022-07-15,2022,7,15
WCT81040,BA.5.1.2,ORF8 protein,121,France,2022-07-15,2022,7,15
WCT81041,BA.5.1.2,nucleocapsid phosphoprotein,416,France,2022-07-15,2022,7,15
WCT81042,BA.5.1.2,ORF10 protein,38,France,2022-07-15,2022,7,15
WCT81055,BA.5.1,ORF1ab polyprotein,7093,France,2022-06-29,2022,6,29
WCT81056,BA.5.1,ORF1a polyprotein,4402,France,2022-06-29,2022,6,29
WCT81057,BA.5.1,surface glycoprotein,1268,France,2022-06-29,2022,6,29
WCT81058,BA.5.1,ORF3a protein,275,France,2022-06-29,2022,6,29
WCT81059,BA.5.1,envelope protein,75,France,2022-06-29,2022,6,29
WCT81060,BA.5.1,membrane glycoprotein,222,France,2022-06-29,2022,6,29
WCT81061,BA.5.1,ORF6 protein,61,France,2022-06-29,2022,6,29
WCT81062,BA.5.1,ORF7a protein,121,France,2022-06-29,2022,6,29
WCT81063,BA.5.1,ORF7b protein,43,France,2022-06-29,2022,6,29
WCT81064,BA.5.1,ORF8 protein,121,France,2022-06-29,2022,6,29
WCT81065,BA.5.1,nucleocapsid phosphoprotein,416,France,2022-06-29,2022,6,29
WCT81066,BA.5.1,ORF10 protein,38,France,2022-06-29,2022,6,29
WCT81115,BA.5.2,ORF1ab polyprotein,7093,France,2022-07-19,2022,7,19
WCT81116,BA.5.2,ORF1a polyprotein,4402,France,2022-07-19,2022,7,19
WCT81117,BA.5.2,surface glycoprotein,1268,France,2022-07-19,2022,7,19
WCT81118,BA.5.2,ORF3a protein,275,France,2022-07-19,2022,7,19
WCT81119,BA.5.2,envelope protein,75,France,2022-07-19,2022,7,19
WCT81120,BA.5.2,membrane glycoprotein,222,France,2022-07-19,2022,7,19
WCT81121,BA.5.2,ORF6 protein,61,France,2022-07-19,2022,7,19
WCT81122,BA.5.2,ORF7a protein,121,France,2022-07-19,2022,7,19
WCT81123,BA.5.2,ORF7b protein,43,France,2022-07-19,2022,7,19
WCT81124,BA.5.2,ORF8 protein,121,France,2022-07-19,2022,7,19
WCT81125,BA.5.2,nucleocapsid phosphoprotein,416,France,2022-07-19,2022,7,19
WCT81126,BA.5.2,ORF10 protein,38,France,2022-07-19,2022,7,19
WCT81234,BA.5.2.20,ORF1ab polyprotein,7093,France,2022-07-11,2022,7,11
WCT81235,BA.5.2.20,ORF1a polyprotein,4402,France,2022-07-11,2022,7,11
WCT81236,BA.5.2.20,surface glycoprotein,1268,France,2022-07-11,2022,7,11
WCT81237,BA.5.2.20,ORF3a protein,275,France,2022-07-11,2022,7,11
WCT81238,BA.5.2.20,envelope protein,75,France,2022-07-11,2022,7,11
WCT81239,BA.5.2.20,membrane glycoprotein,222,France,2022-07-11,2022,7,11
WCT81240,BA.5.2.20,ORF6 protein,61,France,2022-07-11,2022,7,11
WCT81241,BA.5.2.20,ORF7a protein,121,France,2022-07-11,2022,7,11
WCT81242,BA.5.2.20,ORF7b protein,43,France,2022-07-11,2022,7,11
WCT81243,BA.5.2.20,ORF8 protein,121,France,2022-07-11,2022,7,11
WCT81244,BA.5.2.20,nucleocapsid phosphoprotein,416,France,2022-07-11,2022,7,11
WCT81245,BA.5.2.20,ORF10 protein,38,France,2022-07-11,2022,7,11
WCT81270,BA.5.1.3,ORF1ab polyprotein,7093,France,2022-06-30,2022,6,30
WCT81271,BA.5.1.3,ORF1a polyprotein,4402,France,2022-06-30,2022,6,30
WCT81272,BA.5.1.3,surface glycoprotein,1268,France,2022-06-30,2022,6,30
WCT81273,BA.5.1.3,ORF3a protein,275,France,2022-06-30,2022,6,30
WCT81274,BA.5.1.3,envelope protein,75,France,2022-06-30,2022,6,30
WCT81275,BA.5.1.3,membrane glycoprotein,222,France,2022-06-30,2022,6,30
WCT81276,BA.5.1.3,ORF6 protein,61,France,2022-06-30,2022,6,30
WCT81277,BA.5.1.3,ORF7a protein,121,France,2022-06-30,2022,6,30
WCT81278,BA.5.1.3,ORF7b protein,43,France,2022-06-30,2022,6,30
WCT81279,BA.5.1.3,ORF8 protein,121,France,2022-06-30,2022,6,30
WCT81280,BA.5.1.3,nucleocapsid phosphoprotein,416,France,2022-06-30,2022,6,30
WCT81281,BA.5.1.3,ORF10 protein,38,France,2022-06-30,2022,6,30
WCT81378,BA.5.2.1,ORF1ab polyprotein,7093,France,2022-07-18,2022,7,18
WCT81379,BA.5.2.1,ORF1a polyprotein,4402,France,2022-07-18,2022,7,18
WCT81380,BA.5.2.1,surface glycoprotein,1268,France,2022-07-18,2022,7,18
WCT81381,BA.5.2.1,ORF3a protein,275,France,2022-07-18,2022,7,18
WCT81382,BA.5.2.1,envelope protein,75,France,2022-07-18,2022,7,18
WCT81383,BA.5.2.1,membrane glycoprotein,222,France,2022-07-18,2022,7,18
WCT81384,BA.5.2.1,ORF6 protein,61,France,2022-07-18,2022,7,18
WCT81385,BA.5.2.1,ORF7a protein,121,France,2022-07-18,2022,7,18
WCT81386,BA.5.2.1,ORF7b protein,43,France,2022-07-18,2022,7,18
WCT81387,BA.5.2.1,ORF8 protein,121,France,2022-07-18,2022,7,18
WCT81388,BA.5.2.1,nucleocapsid phosphoprotein,416,France,2022-07-18,2022,7,18
WCT81389,BA.5.2.1,ORF10 protein,38,France,2022-07-18,2022,7,18
WCT81581,BA.4.1,ORF1ab polyprotein,7090,France,2022-06-14,2022,6,14
WCT81582,BA.4.1,ORF1a polyprotein,4399,France,2022-06-14,2022,6,14
WCT81583,BA.4.1,surface glycoprotein,1268,France,2022-06-14,2022,6,14
WCT81584,BA.4.1,ORF3a protein,275,France,2022-06-14,2022,6,14
WCT81585,BA.4.1,envelope protein,75,France,2022-06-14,2022,6,14
WCT81586,BA.4.1,membrane glycoprotein,222,France,2022-06-14,2022,6,14
WCT81587,BA.4.1,ORF6 protein,61,France,2022-06-14,2022,6,14
WCT81588,BA.4.1,ORF7a protein,121,France,2022-06-14,2022,6,14
WCT81589,BA.4.1,ORF7b protein,43,France,2022-06-14,2022,6,14
WCT81590,BA.4.1,ORF8 protein,121,France,2022-06-14,2022,6,14
WCT81591,BA.4.1,nucleocapsid phosphoprotein,416,France,2022-06-14,2022,6,14
WCT81592,BA.4.1,ORF10 protein,38,France,2022-06-14,2022,6,14
WCT81628,BA.2.9,ORF1ab polyprotein,7093,France,2022-05-21,2022,5,21
WCT81629,BA.2.9,ORF1a polyprotein,4402,France,2022-05-21,2022,5,21
WCT81630,BA.2.9,surface glycoprotein,1270,France,2022-05-21,2022,5,21
WCT81631,BA.2.9,ORF3a protein,275,France,2022-05-21,2022,5,21
WCT81632,BA.2.9,envelope protein,75,France,2022-05-21,2022,5,21
WCT81633,BA.2.9,membrane glycoprotein,222,France,2022-05-21,2022,5,21
WCT81634,BA.2.9,ORF6 protein,61,France,2022-05-21,2022,5,21
WCT81635,BA.2.9,ORF7a protein,121,France,2022-05-21,2022,5,21
WCT81636,BA.2.9,ORF7b protein,43,France,2022-05-21,2022,5,21
WCT81637,BA.2.9,ORF8 protein,121,France,2022-05-21,2022,5,21
WCT81638,BA.2.9,nucleocapsid phosphoprotein,416,France,2022-05-21,2022,5,21
WCT81639,BA.2.9,ORF10 protein,38,France,2022-05-21,2022,5,21
WCT81664,BA.2.3,ORF1ab polyprotein,7093,France,2022-05-23,2022,5,23
WCT81665,BA.2.3,ORF1a polyprotein,4402,France,2022-05-23,2022,5,23
WCT81666,BA.2.3,surface glycoprotein,1270,France,2022-05-23,2022,5,23
WCT81667,BA.2.3,ORF3a protein,275,France,2022-05-23,2022,5,23
WCT81668,BA.2.3,envelope protein,75,France,2022-05-23,2022,5,23
WCT81669,BA.2.3,membrane glycoprotein,222,France,2022-05-23,2022,5,23
WCT81670,BA.2.3,ORF6 protein,61,France,2022-05-23,2022,5,23
WCT81671,BA.2.3,ORF7a protein,121,France,2022-05-23,2022,5,23
WCT81672,BA.2.3,ORF7b protein,43,France,2022-05-23,2022,5,23
WCT81673,BA.2.3,ORF8 protein,121,France,2022-05-23,2022,5,23
WCT81674,BA.2.3,nucleocapsid phosphoprotein,416,France,2022-05-23,2022,5,23
WCT81675,BA.2.3,ORF10 protein,38,France,2022-05-23,2022,5,23
WCT81747,BA.2,ORF1ab polyprotein,7093,France,2022-05-03,2022,5,3
WCT81748,BA.2,ORF1a polyprotein,4402,France,2022-05-03,2022,5,3
