Accession,Pangolin,Length,Country,Collection_Date,Year,Month,Day
MT731663,B.1.1.59,29903,Bangladesh,2020-06-17,2020,6,17
MT731664,B.1.1.175,29903,Bangladesh,2020-06-20,2020,6,20
MT731669,B.1.36.16,29903,Bangladesh,2020-06-24,2020,6,24
MT502774,A,29859,Bangladesh,2020-05-13,2020,5,13
OQ352636,BA.1.1,29792,Kenya,2021-12-15,2021,12,15
OQ352640,BQ.1.8,29743,Kenya,2022-11-18,2022,11,18
OQ352644,BA.1.1.1,29783,Kenya,2021-12-15,2021,12,15
OQ352707,BQ.1.1,29761,Kenya,2022-11-23,2022,11,23
OQ352727,XBB.3.2,29760,Kenya,2022-11-02,2022,11,2
OQ130516,XBB.2,29767,Kenya,2022-11-27,2022,11,27
OQ130517,BQ.1.1,29770,Kenya,2022-12-06,2022,12,6
OQ130520,BQ.1.10,29764,Kenya,2022-11-29,2022,11,29
OQ130522,XBB.3.2,29765,Kenya,2022-12-03,2022,12,3
OP963518,BQ.1.1.7,29762,Kenya,2022-11-20,2022,11,20
OP890757,AY.46.4,29764,Kenya,2021-09-07,2021,9,7
OP890799,AY.46,29807,Kenya,2021-09-02,2021,9,2
OP890812,AY.121,29809,Kenya,2021-10-22,2021,10,22
OP890829,AY.16,29813,Kenya,2021-09-18,2021,9,18
OP890839,BF.5,29761,Kenya,2022-10-06,2022,10,6
OP890856,AY.46,29807,Kenya,2021-10-25,2021,10,25
OP890870,BQ.1.8,29754,Kenya,2022-10-06,2022,10,6
OP890880,BA.2.75.1,29767,Kenya,2022-10-03,2022,10,3
OP883706,BA.2.31.1,29764,Kenya,2022-08-07,2022,8,7
OP883707,BA.5.2.1,29738,Kenya,2022-05-07,2022,5,7
OP883724,BA.5.2.1,29735,Kenya,2022-04-07,2022,4,7
OP883729,BA.5.2.1,29749,Kenya,2022-07-12,2022,7,12
OP883730,B.1.617.2,29807,Kenya,2021-12-18,2021,12,18
OP883735,BA.1,29790,Kenya,2021-12-18,2021,12,18
OP883737,BA.4.1,29739,Kenya,2022-06-24,2022,6,24
OP883742,BA.4.1,29729,Kenya,2022-08-07,2022,8,7
OP883748,BA.1.13,29792,Kenya,2021-12-18,2021,12,18
OP883812,BA.2.75.5,29750,Kenya,2022-09-11,2022,9,11
OP711787,BA.4.1,29752,Kenya,2022-07-18,2022,7,18
OP711807,BA.5.2,29764,Kenya,2022-07-27,2022,7,27
OP711822,B.1,29714,Kenya,2021-01-28,2021,1,28
OP711826,A.23.1,29714,Kenya,2021-01-27,2021,1,27
OP711847,B.1.530,29714,Kenya,2020-07-17,2020,7,17
OP711848,B.1,29714,Kenya,2020-07-17,2020,7,17
OP711849,AY.16,29702,Kenya,2021-07-07,2021,7,7
OP711850,AY.46,29702,Kenya,2021-07-07,2021,7,7
OP711853,B.1.351,29696,Kenya,2021-06-21,2021,6,21
OP711855,B.1.617.2,29702,Kenya,2021-07-02,2021,7,2
OP711877,AY.46,29696,Kenya,2021-12-07,2021,12,7
OP711888,AY.46,29702,Kenya,2021-08-13,2021,8,13
OP711898,AY.16,29701,Kenya,2022-01-12,2022,1,12
OP711901,AY.46.4,29701,Kenya,2021-07-28,2021,7,28
OP711904,B.1.572,29711,Kenya,2021-07-30,2021,7,30
OP711905,AY.16,29701,Kenya,2020-10-26,2020,10,26
OP711907,AY.16,29701,Kenya,2021-08-03,2021,8,3
OP711911,B.1.617.2,29701,Kenya,2021-08-06,2021,8,6
OP711916,AY.122,29701,Kenya,2021-08-31,2021,8,31
OP711952,B.1,29714,Kenya,2020-04-08,2020,4,8
OP711954,B.1,29711,Kenya,2020-11-07,2020,11,7
OP296284,BA.2.36,29724,Kenya,2022-07-18,2022,7,18
OP296389,BA.4.6,29709,Kenya,2022-07-26,2022,7,26
ON965587,BA.4,29709,Kenya,2022-06-11,2022,6,11
ON965696,BE.1,29718,Kenya,2022-06-15,2022,6,15
ON871906,BA.1.1.14,29747,Kenya,2021-12-18,2021,12,18
ON871935,BA.1.18,29747,Kenya,2021-12-20,2021,12,20
ON871962,BA.1.15.1,29747,Kenya,2021-12-20,2021,12,20
ON602839,BA.1.18,29747,Kenya,2022-01-02,2022,1,2
ON602948,BA.1.1.1,29747,Kenya,2022-01-23,2022,1,23
ON602965,BA.1.1.11,29747,Kenya,2021-12-31,2021,12,31
ON603002,BA.1,29747,Kenya,2022-01-04,2022,1,4
ON603007,BA.1.1,29747,Kenya,2022-01-05,2022,1,5
ON603009,BA.1.1.4,29747,Kenya,2022-01-04,2022,1,4
ON603158,AY.46,29765,Kenya,2021-11-09,2021,11,9
ON603219,BA.1.1.14,29747,Kenya,2022-01-05,2022,1,5
ON603278,BA.2,29741,Kenya,2022-04-18,2022,4,18
ON603282,BA.4.1,29709,Kenya,2022-05-09,2022,5,9
ON603288,BA.2,29724,Kenya,2022-05-11,2022,5,11
ON198118,AY.16,29759,Kenya,2021-12-13,2021,12,13
ON198825,BA.2,29724,Kenya,2022-01-18,2022,1,18
ON199073,AY.16,29765,Kenya,2021-06-05,2021,6,5
OL913207,B.1.1,29782,Kenya,2020-11-11,2020,11,11
OL913208,B.1.530,29782,Kenya,2020-11-11,2020,11,11
OL913214,B.1,29782,Kenya,2020-12-11,2020,12,11
OL913312,B.33,29782,Kenya,2020-03,2020,3,1
OL913316,B.1,29782,Kenya,2020-03-20,2020,3,20
OL913326,B.1.1,29782,Kenya,2020-03-29,2020,3,29
OL914629,A.23.1,29782,Kenya,2021-02-26,2021,2,26
OL739766,B.1.549,29777,Kenya,2020-11-25,2020,11,25
OL739858,AY.16,29764,Kenya,2021-10-02,2021,10,2
OL691336,B.1.549,29768,Kenya,2020-10-28,2020,10,28
OL691440,B.1.393,29777,Kenya,2020-09-11,2020,9,11
OL691441,B.1.596.1,29777,Kenya,2020-11-11,2020,11,11
OL691513,B.1.351,29759,Kenya,2021-05-04,2021,5,4
OL549006,B.1.1.7,29763,Kenya,2021-02-25,2021,2,25
OL549060,B.1.1.7,29763,Kenya,2021-03-02,2021,3,2
OL454532,B.1,29777,Kenya,2020-10-06,2020,10,6
OL454545,B.1.1,29774,Kenya,2020-10-15,2020,10,15
OL454563,B.1.530,29777,Kenya,2020-10-21,2020,10,21
OL454598,B.1.596.1,29777,Kenya,2020-10-27,2020,10,27
OL454628,A.23,29777,Kenya,2020-10-28,2020,10,28
OK510442,B.1.1,29782,Kenya,2020-06-29,2020,6,29
OK510444,B.1,29782,Kenya,2020-06-29,2020,6,29
OK510454,B.1,29782,Kenya,2020-09-06,2020,9,6
OK510491,N.8,29761,Kenya,2020-11-13,2020,11,13
OK510498,B.1.177,29782,Kenya,2020-12-21,2020,12,21
OK510500,B.1.398,29782,Kenya,2020-12-23,2020,12,23
OK487840,B.1.1.7,29763,Kenya,2021-05-04,2021,5,4
OK488030,B.1.1.7,29763,Kenya,2021-04-01,2021,4,1
OK449077,A.25,29782,Kenya,2020-06-08,2020,6,8
OK449104,B.1,29782,Kenya,2020-08-03,2020,8,3
OK449142,B.1.314,29782,Kenya,2020-11-17,2020,11,17
OK449157,A.23,29782,Kenya,2020-11-23,2020,11,23
MW751109,B.1,29782,Kenya,2020-05-04,2020,5,4
MW751133,A,29782,Kenya,2020-04-04,2020,4,4
OQ438434,BQ.1.1.31,29715,Bahrain,2022-12-02,2022,12,2
OQ438442,BQ.1.1,29715,Bahrain,2022-11-23,2022,11,23
OQ438449,BQ.1.1,29718,Bahrain,2022-12-04,2022,12,4
OQ438458,BQ.1.1.5,29718,Bahrain,2022-12-03,2022,12,3
OQ438463,BQ.1.23,29715,Bahrain,2022-11-16,2022,11,16
OQ438500,BQ.1.2,29718,Bahrain,2022-11-28,2022,11,28
OQ438506,BQ.1,29718,Bahrain,2022-11-29,2022,11,29
OQ438546,XBB.2,29786,Bahrain,2022-12-20,2022,12,20
OQ438556,BM.1.1.3,29784,Bahrain,2022-12-17,2022,12,17
OQ438558,XBB.1,29771,Bahrain,2022-12-15,2022,12,15
OQ438565,BN.1,29760,Bahrain,2022-12-18,2022,12,18
OQ438567,CH.1.1,29767,Bahrain,2022-12-18,2022,12,18
OQ438579,BN.1.4,29782,Bahrain,2022-12-18,2022,12,18
OQ438989,BA.5.2.6,29715,Bahrain,2022-12-28,2022,12,28
OP889381,BN.1,29724,Bahrain,2022-10-31,2022,10,31
OP889408,BA.5.2.20,29715,Bahrain,2022-11-01,2022,11,1
OP889460,BN.1,29724,Bahrain,2022-11-03,2022,11,3
OP889464,BQ.1,29715,Bahrain,2022-10-26,2022,10,26
OP889629,BF.7,29718,Bahrain,2022-11-07,2022,11,7
OP889634,BQ.1.1.15,29718,Bahrain,2022-11-10,2022,11,10
OP889636,CL.1,29718,Bahrain,2022-11-14,2022,11,14
OP889669,XBB.2,29721,Bahrain,2022-11-14,2022,11,14
OP889731,BQ.1.12,29718,Bahrain,2022-11-20,2022,11,20
OP889781,CA.3,29724,Bahrain,2022-11-21,2022,11,21
OP727441,BA.5.2,29718,Bahrain,2022-10-16,2022,10,16
OP727454,BA.2.75,29724,Bahrain,2022-10-16,2022,10,16
OP733019,BQ.1.5,29751,Bahrain,2022-10-23,2022,10,23
OP733027,XBB.2,29777,Bahrain,2022-10-23,2022,10,23
OP733031,CA.3,29783,Bahrain,2022-10-20,2022,10,20
OP733040,XBB.1,29767,Bahrain,2022-10-21,2022,10,21
OP733044,BQ.1.23,29771,Bahrain,2022-10-21,2022,10,21
OP733046,XBB,29743,Bahrain,2022-10-24,2022,10,24
OP733051,BA.2.75.2,29780,Bahrain,2022-10-22,2022,10,22
OP733057,BA.5.2.6,29776,Bahrain,2022-10-23,2022,10,23
OP585816,BA.2.75.1,29724,Bahrain,2022-09-15,2022,9,15
OP585835,BA.2.75,29724,Bahrain,2022-09-29,2022,9,29
OP457104,BA.5.2,29783,Bahrain,2022-09-12,2022,9,12
OP457169,BF.11,29778,Bahrain,2022-09-13,2022,9,13
OP365009,BA.5.2,29779,Bahrain,2022-08-24,2022,8,24
OP365010,BA.5.1,29752,Bahrain,2022-08-24,2022,8,24
OP365027,BA.5.2.28,29751,Bahrain,2022-01-09,2022,1,9
OP365033,BA.2.75,29759,Bahrain,2022-08-31,2022,8,31
OP365034,BA.5.2,29783,Bahrain,2022-01-09,2022,1,9
OP295505,BA.5.2.1,29718,Bahrain,2022-08-21,2022,8,21
OP295541,BA.5.6,29718,Bahrain,2022-08-18,2022,8,18
OP295570,BA.5.3.1,29718,Bahrain,2022-08-18,2022,8,18
OP256649,BE.1.1,29718,Bahrain,2022-08-12,2022,8,12
OP169700,BA.5.3.1,29715,Bahrain,2022-07-28,2022,7,28
OP169702,BA.5.2,29718,Bahrain,2022-07-27,2022,7,27
OP169707,BA.5.1,29718,Bahrain,2022-07-17,2022,7,17
OP169713,BA.5.2.1,29718,Bahrain,2022-07-26,2022,7,26
OP113972,BA.2.79,29724,Bahrain,2022-07-14,2022,7,14
OP113977,BA.4,29601,Bahrain,2022-07-16,2022,7,16
OP001956,BF.5,29718,Bahrain,2022-07-12,2022,7,12
ON935636,BA.2.40.1,29724,Bahrain,2022-06-15,2022,6,15
ON935657,BA.5.2,29718,Bahrain,2022-06-30,2022,6,30
ON935662,BF.5,29718,Bahrain,2022-06-30,2022,6,30
ON935684,BA.5.2.1,29718,Bahrain,2022-06-13,2022,6,13
ON935692,BA.2,29715,Bahrain,2022-06-25,2022,6,25
ON629622,BA.2,29724,Bahrain,2022-05-23,2022,5,23
ON627263,BA.5.2.1,29750,Bahrain,2022-05-14,2022,5,14
ON627267,BA.5.2,29771,Bahrain,2022-05-14,2022,5,14
ON627291,BA.4,29743,Bahrain,2022-05-11,2022,5,11
ON627359,BA.2.40.1,29793,Bahrain,2022-05-13,2022,5,13
ON627393,BA.2.12.1,29754,Bahrain,2022-05-12,2022,5,12
ON627407,BA.2.32,29763,Bahrain,2022-05-16,2022,5,16
ON627414,BA.2.79,29782,Bahrain,2022-05-14,2022,5,14
ON627483,BA.2.10,29781,Bahrain,2022-05-15,2022,5,15
ON627488,BA.2.3,29762,Bahrain,2022-05-14,2022,5,14
ON627576,BA.5.1,29780,Bahrain,2022-05-18,2022,5,18
ON597498,BA.2,29729,Bahrain,2022-02-16,2022,2,16
ON597508,BA.1.17.2,29746,Bahrain,2022-02-18,2022,2,18
ON597510,BA.2.10,29729,Bahrain,2022-02-16,2022,2,16
ON597519,BA.1.1,29752,Bahrain,2022-02-17,2022,2,17
ON597535,BA.2.3,29729,Bahrain,2022-02-16,2022,2,16
ON597542,BA.1.1.1,29752,Bahrain,2022-02-20,2022,2,20
ON597575,BA.2.36,29729,Bahrain,2022-02-21,2022,2,21
ON418966,BA.1.1,29746,Bahrain,2022-01-23,2022,1,23
ON418973,BA.1.19,29746,Bahrain,2022-01-24,2022,1,24
ON418975,BA.1.17.2,29746,Bahrain,2022-01-25,2022,1,25
ON418979,BA.2,29729,Bahrain,2022-01-25,2022,1,25
ON419335,BA.2.5,29729,Bahrain,2022-02-07,2022,2,7
ON419355,B.1.1.529,29729,Bahrain,2022-02-07,2022,2,7
ON420280,BA.1.13.1,29746,Bahrain,2022-02-24,2022,2,24
ON420285,BA.1,29746,Bahrain,2022-02-07,2022,2,7
ON384774,BA.1.17.2,29808,Bahrain,2022-04-12,2022,4,12
ON384784,BA.2,29758,Bahrain,2022-04-14,2022,4,14
ON384855,BA.2.1,29778,Bahrain,2022-04-14,2022,4,14
ON384861,BA.2.12.1,29785,Bahrain,2022-04-14,2022,4,14
ON385067,BA.2.5,29724,Bahrain,2022-04-20,2022,4,20
ON197686,BA.2.10.1,29729,Bahrain,2022-02-07,2022,2,7
ON197726,BA.2.4,29729,Bahrain,2022-02-20,2022,2,20
ON197751,BA.2.1,29720,Bahrain,2022-02-16,2022,2,16
ON171838,BA.2.10,29729,Bahrain,2022-01-24,2022,1,24
ON171846,BA.2.5,29729,Bahrain,2022-01-24,2022,1,24
ON171854,BA.1.17,29746,Bahrain,2022-01-24,2022,1,24
ON171872,B.1.1.529,29749,Bahrain,2022-01-25,2022,1,25
ON146378,BA.1.17,29746,Bahrain,2022-02-04,2022,2,4
ON146569,BA.1.1.2,29746,Bahrain,2022-02-07,2022,2,7
ON123855,BA.2,29724,Bahrain,2022-03-26,2022,3,26
ON123895,BA.2.56,29724,Bahrain,2022-03-20,2022,3,20
ON102921,BA.2.3,29724,Bahrain,2022-03-20,2022,3,20
ON103231,BA.2.10.2,29729,Bahrain,2022-02-18,2022,2,18
ON106931,BA.2.10,29715,Bahrain,2022-03-02,2022,3,2
ON077330,BA.2.5,29568,Bahrain,2022-03-01,2022,3,1
ON077339,BA.1.1,29752,Bahrain,2022-03-01,2022,3,1
OM986603,BA.1.19,29752,Bahrain,2022-02-22,2022,2,22
OM986620,BA.2.37,29729,Bahrain,2022-02-22,2022,2,22
OM986674,BA.2.12.1,29729,Bahrain,2022-02-22,2022,2,22
OM843141,B.1.1,29771,Bahrain,2022-02-03,2022,2,3
OM843211,BA.1.14,29787,Bahrain,2022-02-03,2022,2,3
OM844225,BA.2.58,29763,Bahrain,2022-02-17,2022,2,17
OM845090,BA.1.15,29812,Bahrain,2022-02-18,2022,2,18
OM845169,BA.2.12,29763,Bahrain,2022-02-18,2022,2,18
OM845199,BA.1.18,29780,Bahrain,2022-02-18,2022,2,18
OM845222,BA.2.9,29779,Bahrain,2022-02-18,2022,2,18
OM281653,BA.1,29817,Bahrain,2022-01-03,2022,1,3
OM279569,BA.1.17.2,29806,Bahrain,2021-12-27,2021,12,27
OM279572,BA.1.1,29806,Bahrain,2021-12-27,2021,12,27
OM250137,AY.122,29823,Bahrain,2021-12-18,2021,12,18
OM250159,AY.3.4,29823,Bahrain,2021-12-18,2021,12,18
OM250186,BA.1,29806,Bahrain,2021-12-18,2021,12,18
OM083885,AY.4,29823,Bahrain,2021-12-15,2021,12,15
OM083912,B.1.1,29849,Bahrain,2021-12-15,2021,12,15
OM083937,AY.106,29823,Bahrain,2021-12-15,2021,12,15
OM067005,AY.112,29823,Bahrain,2021-12-08,2021,12,8
OM067010,AY.39,29808,Bahrain,2021-12-08,2021,12,8
OM067012,AY.104,29807,Bahrain,2021-12-08,2021,12,8
OM067020,B.1.617.2,29805,Bahrain,2021-12-08,2021,12,8
OM067034,AY.43,29821,Bahrain,2021-12-08,2021,12,8
OM067036,AY.98,29840,Bahrain,2021-12-08,2021,12,8
OM067046,AY.4.5,29810,Bahrain,2021-12-08,2021,12,8
OM067051,AY.127,29806,Bahrain,2021-12-08,2021,12,8
OM067059,AY.65,29800,Bahrain,2021-12-08,2021,12,8
OM067068,AY.33,29808,Bahrain,2021-12-08,2021,12,8
OM067086,AY.125,29808,Bahrain,2021-12-08,2021,12,8
OM068967,BA.1.17,29785,Bahrain,2021-12-10,2021,12,10
OM069148,AY.112,29827,Bahrain,2021-11-30,2021,11,30
OM069161,AY.3.4,29728,Bahrain,2021-11-30,2021,11,30
OM069168,B.1.617.2,29793,Bahrain,2021-11-30,2021,11,30
OL845702,AY.112.2,29751,Bahrain,2021-12-01,2021,12,1
OL845717,AY.25,29800,Bahrain,2021-12-01,2021,12,1
OL721966,AY.122,29807,Bahrain,2021-11-27,2021,11,27
OL721968,AY.127,29800,Bahrain,2021-11-27,2021,11,27
OL721970,AY.125,29804,Bahrain,2021-11-27,2021,11,27
OL721971,AY.46.6,29800,Bahrain,2021-11-27,2021,11,27
OL721972,AY.39,29840,Bahrain,2021-11-27,2021,11,27
OL721974,AY.25,29800,Bahrain,2021-11-27,2021,11,27
OL721977,AY.112.2,29775,Bahrain,2021-11-27,2021,11,27
OL721978,AY.4,29796,Bahrain,2021-11-27,2021,11,27
OL721981,AY.25.1,29827,Bahrain,2021-11-28,2021,11,28
OL721982,AY.121,29811,Bahrain,2021-11-28,2021,11,28
OL721984,AY.4.5,29807,Bahrain,2021-11-28,2021,11,28
OL721996,AY.126,29822,Bahrain,2021-11-28,2021,11,28
OL722001,AY.43,29813,Bahrain,2021-11-29,2021,11,29
OL722009,AY.4.9,29834,Bahrain,2021-11-29,2021,11,29
OL719082,AY.33,29800,Bahrain,2021-11-24,2021,11,24
OL719098,AY.65,29810,Bahrain,2021-11-27,2021,11,27
OL719120,AY.34.2,29789,Bahrain,2021-11-26,2021,11,26
OL719142,AY.106,29842,Bahrain,2021-11-23,2021,11,23
OL719183,AY.34,29812,Bahrain,2021-11-26,2021,11,26
OL719186,AY.127.1,29807,Bahrain,2021-11-26,2021,11,26
OL336682,B.1.617.2,29846,Bahrain,2021-10-30,2021,10,30
OK148246,B.1.617.2,29811,Bahrain,2021-09-06,2021,9,6
MZ914469,B.1.1.7,29798,Bahrain,2021-08-16,2021,8,16
MZ769220,B.1.617.2,29820,Bahrain,2021-07-27,2021,7,27
MZ769253,B.1.617.2,29820,Bahrain,2021-08-01,2021,8,1
MZ769266,B.1.1.7,29817,Bahrain,2021-07-28,2021,7,28
MZ683347,AY.65,29820,Bahrain,2021-06-26,2021,6,26
MZ676219,C.36.3,29840,Bahrain,2021-07-19,2021,7,19
MZ506312,B.1.1.7,29833,Bahrain,2021-05-06,2021,5,6
MZ457934,B.1.1.7,29817,Bahrain,2021-04-26,2021,4,26
MZ458117,B.1.1,29838,Bahrain,2021-05-05,2021,5,5
MZ458349,B.1.1.7,29819,Bahrain,2021-06-11,2021,6,11
MZ458381,B.1.466.2,29837,Bahrain,2021-05-27,2021,5,27
MZ425478,A.28,29810,Bahrain,2021-02-14,2021,2,14
MZ315030,A.28,29851,Bahrain,2021-05-04,2021,5,4
MZ026889,B.1.617,29815,Bahrain,2021-04-12,2021,4,12
MW965617,B.1.1,29815,Bahrain,2021-04-05,2021,4,5
MW965631,B.1.1,29816,Bahrain,2021-03-17,2021,3,17
MW965764,C.17,29815,Bahrain,2021-04-10,2021,4,10
MW947242,B.1.1.7,29797,Bahrain,2021-03-21,2021,3,21
MW704282,AE.4,29816,Bahrain,2021-02-21,2021,2,21
MW704283,B.1.1.7,29797,Bahrain,2021-02-23,2021,2,23
MW704290,B.1.1.25,29816,Bahrain,2021-02-19,2021,2,19
MW704293,C.36,29816,Bahrain,2021-01-19,2021,1,19
MW704338,C.16,29816,Bahrain,2021-02-13,2021,2,13
MW704340,B.1.1,29816,Bahrain,2021-02-25,2021,2,25
MW704345,B.1.560,29787,Bahrain,2021-02-17,2021,2,17
MW704353,B.1.1.25,29816,Bahrain,2021-01-10,2021,1,10
MW704354,B.1.1.7,29797,Bahrain,2021-01-27,2021,1,27
MW704357,C.17,29816,Bahrain,2020-12-22,2020,12,22
MW704358,AE.6,29816,Bahrain,2020-12-17,2020,12,17
MW659092,B.1.36.31,29796,Bahrain,2020-12-12,2020,12,12
MW655535,B.1.1.306,29777,Bahrain,2020-08-22,2020,8,22
MW655536,B.1.1.306,29778,Bahrain,2020-09-01,2020,9,1
MW655537,B.1.1.306,29783,Bahrain,2020-06-28,2020,6,28
MW655538,AE.7,29782,Bahrain,2020-09-04,2020,9,4
MW345922,B.1.1.326,29839,Bahrain,2020-11-16,2020,11,16
MW345923,AE.4,29836,Bahrain,2020-11-16,2020,11,16
MW345924,B.1.36,29874,Bahrain,2020-11-15,2020,11,15
MW345925,B.1.1.1,29837,Bahrain,2020-11-12,2020,11,12
MW345926,B.1.281,29840,Bahrain,2020-11-15,2020,11,15
MW345928,AE.6,29836,Bahrain,2020-11-12,2020,11,12
MW341463,B.1.281,29861,Bahrain,2020-09-14,2020,9,14
MW341464,AE.6,29842,Bahrain,2020-10-26,2020,10,26
MW341469,AE.4,29841,Bahrain,2020-10-13,2020,10,13
MW341470,B.1.1.306,29866,Bahrain,2020-10-11,2020,10,11
MW341472,B.1.281,29853,Bahrain,2020-10-11,2020,10,11
MW341474,AE.2,29865,Bahrain,2020-10-13,2020,10,13
MW342092,AE.2,29848,Bahrain,2020-11-11,2020,11,11
MW342097,B.1.1,29837,Bahrain,2020-11-21,2020,11,21
MW332531,AE.7,29841,Bahrain,2020-10-13,2020,10,13
MW332536,AE.7,29853,Bahrain,2020-11-10,2020,11,10
MW332552,AE.2,29846,Bahrain,2020-09-10,2020,9,10
MW332559,B.1.1.216,29840,Bahrain,2020-11-16,2020,11,16
MW332563,B.1.1.27,29836,Bahrain,2020-11-11,2020,11,11
MW332564,B.1.146,29841,Bahrain,2020-11-11,2020,11,11
MW332216,B.1.1.25,29856,Bahrain,2020-11-22,2020,11,22
