Accession,Pangolin,Protein,Length,Country,Collection_Date,Year,Month,Day
UNA47532,B.1.1.25,ORF1a polyprotein,4405,Bangladesh,2020-10-23,2020,10,23
UNA47533,B.1.1.25,surface glycoprotein,1273,Bangladesh,2020-10-23,2020,10,23
UNA47534,B.1.1.25,ORF3a protein,275,Bangladesh,2020-10-23,2020,10,23
UNA47535,B.1.1.25,envelope protein,75,Bangladesh,2020-10-23,2020,10,23
UNA47536,B.1.1.25,membrane glycoprotein,222,Bangladesh,2020-10-23,2020,10,23
UNA47537,B.1.1.25,ORF6 protein,61,Bangladesh,2020-10-23,2020,10,23
UNA47538,B.1.1.25,ORF7a protein,121,Bangladesh,2020-10-23,2020,10,23
UNA47539,B.1.1.25,ORF7b protein,43,Bangladesh,2020-10-23,2020,10,23
UNA47540,B.1.1.25,ORF8 protein,121,Bangladesh,2020-10-23,2020,10,23
UNA47541,B.1.1.25,nucleocapsid phosphoprotein,419,Bangladesh,2020-10-23,2020,10,23
UNA47542,B.1.1.25,ORF10 protein,38,Bangladesh,2020-10-23,2020,10,23
UNA47555,B.1.36.8,ORF1ab polyprotein,7096,Bangladesh,2020-10-25,2020,10,25
UNA47556,B.1.36.8,ORF1a polyprotein,4405,Bangladesh,2020-10-25,2020,10,25
UNA47557,B.1.36.8,surface glycoprotein,1273,Bangladesh,2020-10-25,2020,10,25
UNA47558,B.1.36.8,ORF3a protein,275,Bangladesh,2020-10-25,2020,10,25
UNA47559,B.1.36.8,envelope protein,75,Bangladesh,2020-10-25,2020,10,25
UNA47560,B.1.36.8,membrane glycoprotein,222,Bangladesh,2020-10-25,2020,10,25
UNA47561,B.1.36.8,ORF6 protein,61,Bangladesh,2020-10-25,2020,10,25
UNA47562,B.1.36.8,ORF7a protein,121,Bangladesh,2020-10-25,2020,10,25
UNA47563,B.1.36.8,ORF7b protein,43,Bangladesh,2020-10-25,2020,10,25
UNA47564,B.1.36.8,ORF8 protein,121,Bangladesh,2020-10-25,2020,10,25
UNA47565,B.1.36.8,nucleocapsid phosphoprotein,419,Bangladesh,2020-10-25,2020,10,25
UNA47566,B.1.36.8,ORF10 protein,38,Bangladesh,2020-10-25,2020,10,25
UNA47567,B.1.36.16,ORF1ab polyprotein,7096,Bangladesh,2020-10-26,2020,10,26
UNA47568,B.1.36.16,ORF1a polyprotein,4405,Bangladesh,2020-10-26,2020,10,26
UNA47569,B.1.36.16,surface glycoprotein,1273,Bangladesh,2020-10-26,2020,10,26
UNA47570,B.1.36.16,ORF3a protein,275,Bangladesh,2020-10-26,2020,10,26
UNA47571,B.1.36.16,envelope protein,75,Bangladesh,2020-10-26,2020,10,26
UNA47572,B.1.36.16,membrane glycoprotein,222,Bangladesh,2020-10-26,2020,10,26
UNA47573,B.1.36.16,ORF6 protein,61,Bangladesh,2020-10-26,2020,10,26
UNA47574,B.1.36.16,ORF7a protein,121,Bangladesh,2020-10-26,2020,10,26
UNA47575,B.1.36.16,ORF7b protein,43,Bangladesh,2020-10-26,2020,10,26
UNA47576,B.1.36.16,ORF8 protein,121,Bangladesh,2020-10-26,2020,10,26
UNA47577,B.1.36.16,nucleocapsid phosphoprotein,419,Bangladesh,2020-10-26,2020,10,26
UNA47578,B.1.36.16,ORF10 protein,38,Bangladesh,2020-10-26,2020,10,26
UNA47675,B.1.36.8,ORF1ab polyprotein,7096,Bangladesh,2020-08-11,2020,8,11
UNA47676,B.1.36.8,ORF1a polyprotein,4405,Bangladesh,2020-08-11,2020,8,11
UNA47677,B.1.36.8,surface glycoprotein,1273,Bangladesh,2020-08-11,2020,8,11
UNA47678,B.1.36.8,ORF3a protein,275,Bangladesh,2020-08-11,2020,8,11
UNA47679,B.1.36.8,envelope protein,75,Bangladesh,2020-08-11,2020,8,11
UNA47680,B.1.36.8,membrane glycoprotein,222,Bangladesh,2020-08-11,2020,8,11
UNA47681,B.1.36.8,ORF6 protein,61,Bangladesh,2020-08-11,2020,8,11
UNA47682,B.1.36.8,ORF7a protein,121,Bangladesh,2020-08-11,2020,8,11
UNA47683,B.1.36.8,ORF7b protein,43,Bangladesh,2020-08-11,2020,8,11
UNA47684,B.1.36.8,ORF8 protein,121,Bangladesh,2020-08-11,2020,8,11
UNA47685,B.1.36.8,nucleocapsid phosphoprotein,419,Bangladesh,2020-08-11,2020,8,11
UNA47686,B.1.36.8,ORF10 protein,38,Bangladesh,2020-08-11,2020,8,11
UNA47711,B.1.36.8,ORF1ab polyprotein,7096,Bangladesh,2020-11-15,2020,11,15
UNA47712,B.1.36.8,ORF1a polyprotein,4405,Bangladesh,2020-11-15,2020,11,15
UNA47713,B.1.36.8,surface glycoprotein,1273,Bangladesh,2020-11-15,2020,11,15
UNA47714,B.1.36.8,ORF3a protein,275,Bangladesh,2020-11-15,2020,11,15
UNA47715,B.1.36.8,envelope protein,75,Bangladesh,2020-11-15,2020,11,15
UNA47716,B.1.36.8,membrane glycoprotein,222,Bangladesh,2020-11-15,2020,11,15
UNA47717,B.1.36.8,ORF6 protein,61,Bangladesh,2020-11-15,2020,11,15
UNA47718,B.1.36.8,ORF7a protein,121,Bangladesh,2020-11-15,2020,11,15
UNA47719,B.1.36.8,ORF7b protein,43,Bangladesh,2020-11-15,2020,11,15
UNA47720,B.1.36.8,ORF8 protein,121,Bangladesh,2020-11-15,2020,11,15
UNA47721,B.1.36.8,nucleocapsid phosphoprotein,419,Bangladesh,2020-11-15,2020,11,15
UNA47722,B.1.36.8,ORF10 protein,38,Bangladesh,2020-11-15,2020,11,15
UNA47735,B.1.1,ORF1ab polyprotein,7096,Bangladesh,2020-11-19,2020,11,19
UNA47736,B.1.1,ORF1a polyprotein,4405,Bangladesh,2020-11-19,2020,11,19
UNA47737,B.1.1,surface glycoprotein,1273,Bangladesh,2020-11-19,2020,11,19
UNA47738,B.1.1,ORF3a protein,275,Bangladesh,2020-11-19,2020,11,19
UNA47739,B.1.1,envelope protein,75,Bangladesh,2020-11-19,2020,11,19
UNA47740,B.1.1,membrane glycoprotein,222,Bangladesh,2020-11-19,2020,11,19
UNA47741,B.1.1,ORF6 protein,61,Bangladesh,2020-11-19,2020,11,19
UNA47742,B.1.1,ORF7a protein,121,Bangladesh,2020-11-19,2020,11,19
UNA47743,B.1.1,ORF7b protein,43,Bangladesh,2020-11-19,2020,11,19
UNA47744,B.1.1,ORF8 protein,121,Bangladesh,2020-11-19,2020,11,19
UNA47745,B.1.1,nucleocapsid phosphoprotein,419,Bangladesh,2020-11-19,2020,11,19
UNA47746,B.1.1,ORF10 protein,38,Bangladesh,2020-11-19,2020,11,19
UNA47759,B.1.1,ORF1ab polyprotein,7096,Bangladesh,2020-08-12,2020,8,12
UNA47760,B.1.1,ORF1a polyprotein,4405,Bangladesh,2020-08-12,2020,8,12
UNA47761,B.1.1,surface glycoprotein,1273,Bangladesh,2020-08-12,2020,8,12
UNA47762,B.1.1,ORF3a protein,275,Bangladesh,2020-08-12,2020,8,12
UNA47763,B.1.1,envelope protein,75,Bangladesh,2020-08-12,2020,8,12
UNA47764,B.1.1,membrane glycoprotein,222,Bangladesh,2020-08-12,2020,8,12
UNA47765,B.1.1,ORF6 protein,61,Bangladesh,2020-08-12,2020,8,12
UNA47766,B.1.1,ORF7a protein,121,Bangladesh,2020-08-12,2020,8,12
UNA47767,B.1.1,ORF7b protein,43,Bangladesh,2020-08-12,2020,8,12
UNA47768,B.1.1,ORF8 protein,121,Bangladesh,2020-08-12,2020,8,12
UNA47769,B.1.1,nucleocapsid phosphoprotein,419,Bangladesh,2020-08-12,2020,8,12
UNA47770,B.1.1,ORF10 protein,38,Bangladesh,2020-08-12,2020,8,12
UNA47855,B.1.1.25,ORF1ab polyprotein,7096,Bangladesh,2020-11-02,2020,11,2
UNA47856,B.1.1.25,ORF1a polyprotein,4405,Bangladesh,2020-11-02,2020,11,2
UNA47857,B.1.1.25,surface glycoprotein,1273,Bangladesh,2020-11-02,2020,11,2
UNA47858,B.1.1.25,ORF3a protein,275,Bangladesh,2020-11-02,2020,11,2
UNA47859,B.1.1.25,envelope protein,75,Bangladesh,2020-11-02,2020,11,2
UNA47860,B.1.1.25,membrane glycoprotein,222,Bangladesh,2020-11-02,2020,11,2
UNA47861,B.1.1.25,ORF6 protein,61,Bangladesh,2020-11-02,2020,11,2
UNA47862,B.1.1.25,ORF7a protein,121,Bangladesh,2020-11-02,2020,11,2
UNA47863,B.1.1.25,ORF7b protein,43,Bangladesh,2020-11-02,2020,11,2
UNA47864,B.1.1.25,ORF8 protein,121,Bangladesh,2020-11-02,2020,11,2
UNA47865,B.1.1.25,nucleocapsid phosphoprotein,419,Bangladesh,2020-11-02,2020,11,2
UNA47866,B.1.1.25,ORF10 protein,38,Bangladesh,2020-11-02,2020,11,2
ULH81737,BA.1.17.2,ORF1ab polyprotein,7092,Bangladesh,2022-01-19,2022,1,19
ULH81738,BA.1.17.2,ORF1a polyprotein,4401,Bangladesh,2022-01-19,2022,1,19
ULH81739,BA.1.17.2,surface glycoprotein,1270,Bangladesh,2022-01-19,2022,1,19
ULH81740,BA.1.17.2,ORF3a protein,275,Bangladesh,2022-01-19,2022,1,19
ULH81741,BA.1.17.2,envelope protein,75,Bangladesh,2022-01-19,2022,1,19
ULH81742,BA.1.17.2,membrane glycoprotein,222,Bangladesh,2022-01-19,2022,1,19
ULH81743,BA.1.17.2,ORF6 protein,61,Bangladesh,2022-01-19,2022,1,19
ULH81744,BA.1.17.2,ORF7a protein,121,Bangladesh,2022-01-19,2022,1,19
ULH81745,BA.1.17.2,ORF7b protein,43,Bangladesh,2022-01-19,2022,1,19
ULH81746,BA.1.17.2,ORF8 protein,121,Bangladesh,2022-01-19,2022,1,19
ULH81747,BA.1.17.2,nucleocapsid phosphoprotein,416,Bangladesh,2022-01-19,2022,1,19
ULH81748,BA.1.17.2,ORF10 protein,38,Bangladesh,2022-01-19,2022,1,19
ULD55225,B.1.617.2,ORF1ab polyprotein,7096,Bangladesh,2021-08-14,2021,8,14
ULD55226,B.1.617.2,ORF1a polyprotein,4405,Bangladesh,2021-08-14,2021,8,14
ULD55227,B.1.617.2,surface glycoprotein,1271,Bangladesh,2021-08-14,2021,8,14
ULD55228,B.1.617.2,ORF3a protein,275,Bangladesh,2021-08-14,2021,8,14
ULD55229,B.1.617.2,envelope protein,75,Bangladesh,2021-08-14,2021,8,14
ULD55230,B.1.617.2,membrane glycoprotein,222,Bangladesh,2021-08-14,2021,8,14
ULD55231,B.1.617.2,ORF6 protein,61,Bangladesh,2021-08-14,2021,8,14
ULD55232,B.1.617.2,ORF7a protein,121,Bangladesh,2021-08-14,2021,8,14
ULD55233,B.1.617.2,ORF7b protein,43,Bangladesh,2021-08-14,2021,8,14
ULD55234,B.1.617.2,ORF8 protein,119,Bangladesh,2021-08-14,2021,8,14
ULD55235,B.1.617.2,nucleocapsid phosphoprotein,419,Bangladesh,2021-08-14,2021,8,14
ULD55236,B.1.617.2,ORF10 protein,38,Bangladesh,2021-08-14,2021,8,14
ULD55402,B.1.617.2,ORF1ab polyprotein,7096,Bangladesh,2021-09-04,2021,9,4
ULD55403,B.1.617.2,ORF1a polyprotein,4405,Bangladesh,2021-09-04,2021,9,4
ULD55404,B.1.617.2,surface glycoprotein,1271,Bangladesh,2021-09-04,2021,9,4
ULD55405,B.1.617.2,ORF3a protein,275,Bangladesh,2021-09-04,2021,9,4
ULD55406,B.1.617.2,envelope protein,75,Bangladesh,2021-09-04,2021,9,4
ULD55407,B.1.617.2,membrane glycoprotein,222,Bangladesh,2021-09-04,2021,9,4
ULD55408,B.1.617.2,ORF6 protein,61,Bangladesh,2021-09-04,2021,9,4
ULD55409,B.1.617.2,ORF7a protein,121,Bangladesh,2021-09-04,2021,9,4
ULD55410,B.1.617.2,ORF7b protein,43,Bangladesh,2021-09-04,2021,9,4
ULD55411,B.1.617.2,ORF8 protein,119,Bangladesh,2021-09-04,2021,9,4
ULD55412,B.1.617.2,nucleocapsid phosphoprotein,419,Bangladesh,2021-09-04,2021,9,4
ULD55413,B.1.617.2,ORF10 protein,38,Bangladesh,2021-09-04,2021,9,4
UKO09666,BA.1,ORF1ab polyprotein,7092,Bangladesh,2021-12-14,2021,12,14
UKO09667,BA.1,ORF1a polyprotein,4401,Bangladesh,2021-12-14,2021,12,14
UKO09668,BA.1,surface glycoprotein,1267,Bangladesh,2021-12-14,2021,12,14
UKO09669,BA.1,ORF3a protein,275,Bangladesh,2021-12-14,2021,12,14
