Accession,Pangolin,Protein,Length,Country,Collection_Date,Year,Month,Day
WAV08766,AY.44,ORF1ab polyprotein,7096,Mexico,2022-01-06,2022,1,6
WAV08767,AY.44,ORF1a polyprotein,4405,Mexico,2022-01-06,2022,1,6
WAV08768,AY.44,surface glycoprotein,1271,Mexico,2022-01-06,2022,1,6
WAV08769,AY.44,ORF3a protein,275,Mexico,2022-01-06,2022,1,6
WAV08770,AY.44,envelope protein,75,Mexico,2022-01-06,2022,1,6
WAV08771,AY.44,membrane glycoprotein,222,Mexico,2022-01-06,2022,1,6
WAV08772,AY.44,ORF6 protein,61,Mexico,2022-01-06,2022,1,6
WAV08773,AY.44,ORF7a protein,121,Mexico,2022-01-06,2022,1,6
WAV08774,AY.44,ORF7b protein,43,Mexico,2022-01-06,2022,1,6
WAV08775,AY.44,ORF8 protein,119,Mexico,2022-01-06,2022,1,6
WAV08776,AY.44,nucleocapsid phosphoprotein,419,Mexico,2022-01-06,2022,1,6
WAV08777,AY.44,ORF10 protein,38,Mexico,2022-01-06,2022,1,6
WAV08778,AY.100,ORF1ab polyprotein,7096,Mexico,2022-01-06,2022,1,6
WAV08779,AY.100,ORF1a polyprotein,4405,Mexico,2022-01-06,2022,1,6
WAV08780,AY.100,surface glycoprotein,1271,Mexico,2022-01-06,2022,1,6
WAV08781,AY.100,ORF3a protein,275,Mexico,2022-01-06,2022,1,6
WAV08782,AY.100,envelope protein,75,Mexico,2022-01-06,2022,1,6
WAV08783,AY.100,membrane glycoprotein,222,Mexico,2022-01-06,2022,1,6
WAV08784,AY.100,ORF6 protein,61,Mexico,2022-01-06,2022,1,6
WAV08785,AY.100,ORF7a protein,121,Mexico,2022-01-06,2022,1,6
WAV08786,AY.100,ORF7b protein,43,Mexico,2022-01-06,2022,1,6
WAV08787,AY.100,ORF8 protein,119,Mexico,2022-01-06,2022,1,6
WAV08788,AY.100,nucleocapsid phosphoprotein,419,Mexico,2022-01-06,2022,1,6
WAV08789,AY.100,ORF10 protein,38,Mexico,2022-01-06,2022,1,6
WAV08979,AY.39,ORF1ab polyprotein,7096,Mexico,2022-01-03,2022,1,3
WAV08980,AY.39,ORF1a polyprotein,4405,Mexico,2022-01-03,2022,1,3
WAV08981,AY.39,surface glycoprotein,1271,Mexico,2022-01-03,2022,1,3
WAV08982,AY.39,ORF3a protein,275,Mexico,2022-01-03,2022,1,3
WAV08983,AY.39,envelope protein,75,Mexico,2022-01-03,2022,1,3
WAV08984,AY.39,membrane glycoprotein,222,Mexico,2022-01-03,2022,1,3
WAV08985,AY.39,ORF6 protein,61,Mexico,2022-01-03,2022,1,3
WAV08986,AY.39,ORF7a protein,121,Mexico,2022-01-03,2022,1,3
WAV08987,AY.39,ORF7b protein,43,Mexico,2022-01-03,2022,1,3
WAV08988,AY.39,ORF8 protein,119,Mexico,2022-01-03,2022,1,3
WAV08989,AY.39,nucleocapsid phosphoprotein,419,Mexico,2022-01-03,2022,1,3
WAV08990,AY.39,ORF10 protein,38,Mexico,2022-01-03,2022,1,3
WAV09206,AY.3,ORF1ab polyprotein,7096,Mexico,2022-01-04,2022,1,4
WAV09207,AY.3,ORF1a polyprotein,4405,Mexico,2022-01-04,2022,1,4
WAV09208,AY.3,surface glycoprotein,1271,Mexico,2022-01-04,2022,1,4
WAV09209,AY.3,ORF3a protein,275,Mexico,2022-01-04,2022,1,4
WAV09210,AY.3,envelope protein,75,Mexico,2022-01-04,2022,1,4
WAV09211,AY.3,membrane glycoprotein,222,Mexico,2022-01-04,2022,1,4
WAV09212,AY.3,ORF6 protein,61,Mexico,2022-01-04,2022,1,4
WAV09213,AY.3,ORF7a protein,121,Mexico,2022-01-04,2022,1,4
WAV09214,AY.3,ORF7b protein,43,Mexico,2022-01-04,2022,1,4
WAV09215,AY.3,ORF8 protein,119,Mexico,2022-01-04,2022,1,4
WAV09216,AY.3,nucleocapsid phosphoprotein,419,Mexico,2022-01-04,2022,1,4
WAV09217,AY.3,ORF10 protein,38,Mexico,2022-01-04,2022,1,4
WAV09445,AY.103,ORF1ab polyprotein,7096,Mexico,2022-01-03,2022,1,3
WAV09446,AY.103,ORF1a polyprotein,4405,Mexico,2022-01-03,2022,1,3
WAV09447,AY.103,surface glycoprotein,1271,Mexico,2022-01-03,2022,1,3
WAV09448,AY.103,ORF3a protein,275,Mexico,2022-01-03,2022,1,3
WAV09449,AY.103,envelope protein,75,Mexico,2022-01-03,2022,1,3
WAV09450,AY.103,membrane glycoprotein,222,Mexico,2022-01-03,2022,1,3
WAV09451,AY.103,ORF6 protein,61,Mexico,2022-01-03,2022,1,3
WAV09452,AY.103,ORF7a protein,121,Mexico,2022-01-03,2022,1,3
WAV09453,AY.103,ORF7b protein,43,Mexico,2022-01-03,2022,1,3
WAV09454,AY.103,ORF8 protein,119,Mexico,2022-01-03,2022,1,3
WAV09455,AY.103,nucleocapsid phosphoprotein,419,Mexico,2022-01-03,2022,1,3
WAV09456,AY.103,ORF10 protein,38,Mexico,2022-01-03,2022,1,3
WAV10884,AY.43,ORF1ab polyprotein,7096,Mexico,2022-01-03,2022,1,3
WAV10885,AY.43,ORF1a polyprotein,4405,Mexico,2022-01-03,2022,1,3
WAV10886,AY.43,surface glycoprotein,1271,Mexico,2022-01-03,2022,1,3
WAV10887,AY.43,ORF3a protein,275,Mexico,2022-01-03,2022,1,3
WAV10888,AY.43,envelope protein,75,Mexico,2022-01-03,2022,1,3
WAV10889,AY.43,membrane glycoprotein,222,Mexico,2022-01-03,2022,1,3
WAV10890,AY.43,ORF6 protein,61,Mexico,2022-01-03,2022,1,3
WAV10891,AY.43,ORF7a protein,121,Mexico,2022-01-03,2022,1,3
WAV10892,AY.43,ORF7b protein,43,Mexico,2022-01-03,2022,1,3
WAV10893,AY.43,ORF8 protein,119,Mexico,2022-01-03,2022,1,3
WAV10894,AY.43,nucleocapsid phosphoprotein,419,Mexico,2022-01-03,2022,1,3
WAV10895,AY.43,ORF10 protein,38,Mexico,2022-01-03,2022,1,3
WAV14691,AY.25,ORF1ab polyprotein,7096,Mexico,2022-01-16,2022,1,16
WAV14692,AY.25,ORF1a polyprotein,4405,Mexico,2022-01-16,2022,1,16
WAV14693,AY.25,surface glycoprotein,1271,Mexico,2022-01-16,2022,1,16
WAV14694,AY.25,ORF3a protein,275,Mexico,2022-01-16,2022,1,16
WAV14695,AY.25,envelope protein,75,Mexico,2022-01-16,2022,1,16
WAV14696,AY.25,membrane glycoprotein,222,Mexico,2022-01-16,2022,1,16
WAV14697,AY.25,ORF6 protein,61,Mexico,2022-01-16,2022,1,16
WAV14698,AY.25,ORF7a protein,121,Mexico,2022-01-16,2022,1,16
WAV14699,AY.25,ORF7b protein,43,Mexico,2022-01-16,2022,1,16
WAV14700,AY.25,ORF8 protein,119,Mexico,2022-01-16,2022,1,16
WAV14701,AY.25,nucleocapsid phosphoprotein,419,Mexico,2022-01-16,2022,1,16
WAV14702,AY.25,ORF10 protein,38,Mexico,2022-01-16,2022,1,16
WAV14763,AY.34,ORF1ab polyprotein,7096,Mexico,2022-01-13,2022,1,13
WAV14764,AY.34,ORF1a polyprotein,4405,Mexico,2022-01-13,2022,1,13
WAV14765,AY.34,surface glycoprotein,1271,Mexico,2022-01-13,2022,1,13
WAV14766,AY.34,ORF3a protein,276,Mexico,2022-01-13,2022,1,13
WAV14767,AY.34,envelope protein,75,Mexico,2022-01-13,2022,1,13
WAV14768,AY.34,membrane glycoprotein,222,Mexico,2022-01-13,2022,1,13
WAV14769,AY.34,ORF6 protein,61,Mexico,2022-01-13,2022,1,13
WAV14770,AY.34,ORF7a protein,121,Mexico,2022-01-13,2022,1,13
WAV14771,AY.34,ORF7b protein,43,Mexico,2022-01-13,2022,1,13
WAV14772,AY.34,ORF8 protein,119,Mexico,2022-01-13,2022,1,13
WAV14773,AY.34,nucleocapsid phosphoprotein,419,Mexico,2022-01-13,2022,1,13
WAV14774,AY.34,ORF10 protein,38,Mexico,2022-01-13,2022,1,13
WAV38906,BA.1.15,ORF1ab polyprotein,7092,Mexico,2022-01-05,2022,1,5
WAV38907,BA.1.15,ORF1a polyprotein,4401,Mexico,2022-01-05,2022,1,5
WAV38908,BA.1.15,surface glycoprotein,1270,Mexico,2022-01-05,2022,1,5
WAV38909,BA.1.15,ORF3a protein,275,Mexico,2022-01-05,2022,1,5
WAV38910,BA.1.15,envelope protein,75,Mexico,2022-01-05,2022,1,5
WAV38911,BA.1.15,membrane glycoprotein,222,Mexico,2022-01-05,2022,1,5
WAV38912,BA.1.15,ORF6 protein,61,Mexico,2022-01-05,2022,1,5
WAV38913,BA.1.15,ORF7a protein,121,Mexico,2022-01-05,2022,1,5
WAV38914,BA.1.15,ORF7b protein,43,Mexico,2022-01-05,2022,1,5
WAV38915,BA.1.15,ORF8 protein,121,Mexico,2022-01-05,2022,1,5
WAV38916,BA.1.15,nucleocapsid phosphoprotein,416,Mexico,2022-01-05,2022,1,5
WAV38917,BA.1.15,ORF10 protein,38,Mexico,2022-01-05,2022,1,5
WAV38942,BA.1.1,ORF1ab polyprotein,7092,Mexico,2022-01-05,2022,1,5
WAV38943,BA.1.1,ORF1a polyprotein,4401,Mexico,2022-01-05,2022,1,5
WAV38944,BA.1.1,surface glycoprotein,1270,Mexico,2022-01-05,2022,1,5
WAV38945,BA.1.1,ORF3a protein,275,Mexico,2022-01-05,2022,1,5
WAV38946,BA.1.1,envelope protein,75,Mexico,2022-01-05,2022,1,5
WAV38947,BA.1.1,membrane glycoprotein,222,Mexico,2022-01-05,2022,1,5
WAV38948,BA.1.1,ORF6 protein,61,Mexico,2022-01-05,2022,1,5
WAV38949,BA.1.1,ORF7a protein,121,Mexico,2022-01-05,2022,1,5
WAV38950,BA.1.1,ORF7b protein,43,Mexico,2022-01-05,2022,1,5
WAV38951,BA.1.1,ORF8 protein,121,Mexico,2022-01-05,2022,1,5
WAV38952,BA.1.1,nucleocapsid phosphoprotein,416,Mexico,2022-01-05,2022,1,5
WAV38953,BA.1.1,ORF10 protein,38,Mexico,2022-01-05,2022,1,5
WAV38966,BA.1,ORF1ab polyprotein,7092,Mexico,2022-01-04,2022,1,4
WAV38967,BA.1,ORF1a polyprotein,4401,Mexico,2022-01-04,2022,1,4
WAV38968,BA.1,surface glycoprotein,1270,Mexico,2022-01-04,2022,1,4
WAV38969,BA.1,ORF3a protein,275,Mexico,2022-01-04,2022,1,4
WAV38970,BA.1,envelope protein,75,Mexico,2022-01-04,2022,1,4
WAV38971,BA.1,membrane glycoprotein,222,Mexico,2022-01-04,2022,1,4
WAV38972,BA.1,ORF6 protein,61,Mexico,2022-01-04,2022,1,4
WAV38973,BA.1,ORF7a protein,121,Mexico,2022-01-04,2022,1,4
WAV38974,BA.1,ORF7b protein,43,Mexico,2022-01-04,2022,1,4
WAV38975,BA.1,ORF8 protein,121,Mexico,2022-01-04,2022,1,4
WAV38976,BA.1,nucleocapsid phosphoprotein,416,Mexico,2022-01-04,2022,1,4
WAV38977,BA.1,ORF10 protein,38,Mexico,2022-01-04,2022,1,4
WAV39432,BA.1.1.18,ORF1ab polyprotein,7092,Mexico,2022-01-03,2022,1,3
WAV39433,BA.1.1.18,ORF1a polyprotein,4401,Mexico,2022-01-03,2022,1,3
WAV39434,BA.1.1.18,surface glycoprotein,1270,Mexico,2022-01-03,2022,1,3
WAV39435,BA.1.1.18,ORF3a protein,275,Mexico,2022-01-03,2022,1,3
WAV39436,BA.1.1.18,envelope protein,75,Mexico,2022-01-03,2022,1,3
WAV39437,BA.1.1.18,membrane glycoprotein,222,Mexico,2022-01-03,2022,1,3
WAV39438,BA.1.1.18,ORF6 protein,61,Mexico,2022-01-03,2022,1,3
WAV39439,BA.1.1.18,ORF7a protein,121,Mexico,2022-01-03,2022,1,3
WAV39440,BA.1.1.18,ORF7b protein,43,Mexico,2022-01-03,2022,1,3
WAV39441,BA.1.1.18,ORF8 protein,121,Mexico,2022-01-03,2022,1,3
WAV39442,BA.1.1.18,nucleocapsid phosphoprotein,416,Mexico,2022-01-03,2022,1,3
WAV39443,BA.1.1.18,ORF10 protein,38,Mexico,2022-01-03,2022,1,3
WAV39768,BA.1.1.14,ORF1ab polyprotein,7092,Mexico,2022-01-04,2022,1,4
WAV39769,BA.1.1.14,ORF1a polyprotein,4401,Mexico,2022-01-04,2022,1,4
WAV39770,BA.1.1.14,surface glycoprotein,1270,Mexico,2022-01-04,2022,1,4
WAV39771,BA.1.1.14,ORF3a protein,275,Mexico,2022-01-04,2022,1,4
WAV39772,BA.1.1.14,envelope protein,75,Mexico,2022-01-04,2022,1,4
WAV39773,BA.1.1.14,membrane glycoprotein,222,Mexico,2022-01-04,2022,1,4
WAV39774,BA.1.1.14,ORF6 protein,61,Mexico,2022-01-04,2022,1,4
WAV39775,BA.1.1.14,ORF7a protein,121,Mexico,2022-01-04,2022,1,4
WAV39776,BA.1.1.14,ORF7b protein,43,Mexico,2022-01-04,2022,1,4
WAV39777,BA.1.1.14,ORF8 protein,121,Mexico,2022-01-04,2022,1,4
WAV39778,BA.1.1.14,nucleocapsid phosphoprotein,416,Mexico,2022-01-04,2022,1,4
WAV39779,BA.1.1.14,ORF10 protein,38,Mexico,2022-01-04,2022,1,4
WAV40283,BA.1.18,ORF1ab polyprotein,7092,Mexico,2022-01-05,2022,1,5
WAV40284,BA.1.18,ORF1a polyprotein,4401,Mexico,2022-01-05,2022,1,5
WAV40285,BA.1.18,surface glycoprotein,1270,Mexico,2022-01-05,2022,1,5
WAV40286,BA.1.18,ORF3a protein,275,Mexico,2022-01-05,2022,1,5
WAV40287,BA.1.18,envelope protein,75,Mexico,2022-01-05,2022,1,5
WAV40288,BA.1.18,membrane glycoprotein,222,Mexico,2022-01-05,2022,1,5
WAV40289,BA.1.18,ORF6 protein,61,Mexico,2022-01-05,2022,1,5
WAV40290,BA.1.18,ORF7a protein,121,Mexico,2022-01-05,2022,1,5
WAV40291,BA.1.18,ORF7b protein,43,Mexico,2022-01-05,2022,1,5
WAV40292,BA.1.18,ORF8 protein,121,Mexico,2022-01-05,2022,1,5
WAV40293,BA.1.18,nucleocapsid phosphoprotein,416,Mexico,2022-01-05,2022,1,5
WAV40294,BA.1.18,ORF10 protein,38,Mexico,2022-01-05,2022,1,5
WAV43352,BA.1.17,ORF1ab polyprotein,7092,Mexico,2022-01-02,2022,1,2
WAV43353,BA.1.17,ORF1a polyprotein,4401,Mexico,2022-01-02,2022,1,2
WAV43354,BA.1.17,surface glycoprotein,1270,Mexico,2022-01-02,2022,1,2
WAV43355,BA.1.17,ORF3a protein,275,Mexico,2022-01-02,2022,1,2
WAV43356,BA.1.17,envelope protein,75,Mexico,2022-01-02,2022,1,2
WAV43357,BA.1.17,membrane glycoprotein,222,Mexico,2022-01-02,2022,1,2
WAV43358,BA.1.17,ORF6 protein,61,Mexico,2022-01-02,2022,1,2
WAV43359,BA.1.17,ORF7a protein,121,Mexico,2022-01-02,2022,1,2
WAV43360,BA.1.17,ORF7b protein,43,Mexico,2022-01-02,2022,1,2
WAV43361,BA.1.17,ORF8 protein,121,Mexico,2022-01-02,2022,1,2
WAV43362,BA.1.17,nucleocapsid phosphoprotein,416,Mexico,2022-01-02,2022,1,2
WAV43363,BA.1.17,ORF10 protein,38,Mexico,2022-01-02,2022,1,2
WAV44010,BA.1.17.2,ORF1ab polyprotein,7092,Mexico,2022-01-02,2022,1,2
WAV44011,BA.1.17.2,ORF1a polyprotein,4401,Mexico,2022-01-02,2022,1,2
WAV44012,BA.1.17.2,surface glycoprotein,1270,Mexico,2022-01-02,2022,1,2
WAV44013,BA.1.17.2,ORF3a protein,275,Mexico,2022-01-02,2022,1,2
WAV44014,BA.1.17.2,envelope protein,75,Mexico,2022-01-02,2022,1,2
WAV44015,BA.1.17.2,membrane glycoprotein,222,Mexico,2022-01-02,2022,1,2
WAV44016,BA.1.17.2,ORF6 protein,61,Mexico,2022-01-02,2022,1,2
WAV44017,BA.1.17.2,ORF7a protein,121,Mexico,2022-01-02,2022,1,2
WAV44018,BA.1.17.2,ORF7b protein,43,Mexico,2022-01-02,2022,1,2
WAV44019,BA.1.17.2,ORF8 protein,121,Mexico,2022-01-02,2022,1,2
WAV44020,BA.1.17.2,nucleocapsid phosphoprotein,416,Mexico,2022-01-02,2022,1,2
WAV44021,BA.1.17.2,ORF10 protein,38,Mexico,2022-01-02,2022,1,2
WAV44118,BA.1.15.2,ORF1ab polyprotein,7092,Mexico,2022-01-02,2022,1,2
WAV44119,BA.1.15.2,ORF1a polyprotein,4401,Mexico,2022-01-02,2022,1,2
WAV44120,BA.1.15.2,surface glycoprotein,1267,Mexico,2022-01-02,2022,1,2
WAV44121,BA.1.15.2,ORF3a protein,275,Mexico,2022-01-02,2022,1,2
WAV44122,BA.1.15.2,envelope protein,75,Mexico,2022-01-02,2022,1,2
WAV44123,BA.1.15.2,membrane glycoprotein,222,Mexico,2022-01-02,2022,1,2
WAV44124,BA.1.15.2,ORF6 protein,61,Mexico,2022-01-02,2022,1,2
WAV44125,BA.1.15.2,ORF7a protein,121,Mexico,2022-01-02,2022,1,2
WAV44126,BA.1.15.2,ORF7b protein,43,Mexico,2022-01-02,2022,1,2
WAV44127,BA.1.15.2,ORF8 protein,121,Mexico,2022-01-02,2022,1,2
WAV44128,BA.1.15.2,nucleocapsid phosphoprotein,416,Mexico,2022-01-02,2022,1,2
WAV44129,BA.1.15.2,ORF10 protein,38,Mexico,2022-01-02,2022,1,2
WAV44274,BA.1.13,ORF1ab polyprotein,7092,Mexico,2022-01-04,2022,1,4
WAV44275,BA.1.13,ORF1a polyprotein,4401,Mexico,2022-01-04,2022,1,4
WAV44276,BA.1.13,surface glycoprotein,1270,Mexico,2022-01-04,2022,1,4
WAV44277,BA.1.13,ORF3a protein,275,Mexico,2022-01-04,2022,1,4
WAV44278,BA.1.13,envelope protein,75,Mexico,2022-01-04,2022,1,4
WAV44279,BA.1.13,membrane glycoprotein,222,Mexico,2022-01-04,2022,1,4
WAV44280,BA.1.13,ORF6 protein,61,Mexico,2022-01-04,2022,1,4
WAV44281,BA.1.13,ORF7a protein,121,Mexico,2022-01-04,2022,1,4
WAV44282,BA.1.13,ORF7b protein,43,Mexico,2022-01-04,2022,1,4
WAV44283,BA.1.13,ORF8 protein,121,Mexico,2022-01-04,2022,1,4
WAV44284,BA.1.13,nucleocapsid phosphoprotein,416,Mexico,2022-01-04,2022,1,4
WAV44285,BA.1.13,ORF10 protein,38,Mexico,2022-01-04,2022,1,4
WAV45591,BA.1.20,ORF1ab polyprotein,7092,Mexico,2022-01-05,2022,1,5
WAV45592,BA.1.20,ORF1a polyprotein,4401,Mexico,2022-01-05,2022,1,5
WAV45593,BA.1.20,surface glycoprotein,1270,Mexico,2022-01-05,2022,1,5
WAV45594,BA.1.20,ORF3a protein,275,Mexico,2022-01-05,2022,1,5
WAV45595,BA.1.20,envelope protein,75,Mexico,2022-01-05,2022,1,5
WAV45596,BA.1.20,membrane glycoprotein,222,Mexico,2022-01-05,2022,1,5
WAV45597,BA.1.20,ORF6 protein,61,Mexico,2022-01-05,2022,1,5
WAV45598,BA.1.20,ORF7a protein,121,Mexico,2022-01-05,2022,1,5
WAV45599,BA.1.20,ORF7b protein,43,Mexico,2022-01-05,2022,1,5
WAV45600,BA.1.20,ORF8 protein,121,Mexico,2022-01-05,2022,1,5
WAV45601,BA.1.20,nucleocapsid phosphoprotein,416,Mexico,2022-01-05,2022,1,5
WAV45602,BA.1.20,ORF10 protein,38,Mexico,2022-01-05,2022,1,5
WAV51065,BA.2.2.1,ORF1ab polyprotein,7092,Mexico,2022-01-17,2022,1,17
WAV51066,BA.2.2.1,ORF1a polyprotein,4401,Mexico,2022-01-17,2022,1,17
WAV51067,BA.2.2.1,surface glycoprotein,1270,Mexico,2022-01-17,2022,1,17
WAV51068,BA.2.2.1,ORF3a protein,275,Mexico,2022-01-17,2022,1,17
WAV51069,BA.2.2.1,envelope protein,75,Mexico,2022-01-17,2022,1,17
WAV51070,BA.2.2.1,membrane glycoprotein,222,Mexico,2022-01-17,2022,1,17
WAV51071,BA.2.2.1,ORF6 protein,61,Mexico,2022-01-17,2022,1,17
WAV51072,BA.2.2.1,ORF7a protein,121,Mexico,2022-01-17,2022,1,17
WAV51073,BA.2.2.1,ORF7b protein,43,Mexico,2022-01-17,2022,1,17
WAV51074,BA.2.2.1,ORF8 protein,121,Mexico,2022-01-17,2022,1,17
WAV51075,BA.2.2.1,nucleocapsid phosphoprotein,416,Mexico,2022-01-17,2022,1,17
WAV51076,BA.2.2.1,ORF10 protein,38,Mexico,2022-01-17,2022,1,17
WAV51161,BA.1.1,ORF1ab polyprotein,7093,Mexico,2022-02-01,2022,2,1
WAV51162,BA.1.1,ORF1a polyprotein,4402,Mexico,2022-02-01,2022,2,1
WAV51163,BA.1.1,surface glycoprotein,1266,Mexico,2022-02-01,2022,2,1
WAV51164,BA.1.1,ORF3a protein,275,Mexico,2022-02-01,2022,2,1
WAV51165,BA.1.1,envelope protein,75,Mexico,2022-02-01,2022,2,1
WAV51166,BA.1.1,membrane glycoprotein,222,Mexico,2022-02-01,2022,2,1
WAV51167,BA.1.1,ORF6 protein,61,Mexico,2022-02-01,2022,2,1
WAV51168,BA.1.1,ORF7a protein,121,Mexico,2022-02-01,2022,2,1
WAV51169,BA.1.1,ORF7b protein,43,Mexico,2022-02-01,2022,2,1
WAV51170,BA.1.1,ORF8 protein,121,Mexico,2022-02-01,2022,2,1
WAV51171,BA.1.1,nucleocapsid phosphoprotein,416,Mexico,2022-02-01,2022,2,1
WAV51172,BA.1.1,ORF10 protein,38,Mexico,2022-02-01,2022,2,1
WAV52297,BA.1.15,ORF1ab polyprotein,7092,Mexico,2022-02-02,2022,2,2
WAV52298,BA.1.15,ORF1a polyprotein,4401,Mexico,2022-02-02,2022,2,2
WAV52299,BA.1.15,surface glycoprotein,1266,Mexico,2022-02-02,2022,2,2
WAV52300,BA.1.15,ORF3a protein,275,Mexico,2022-02-02,2022,2,2
WAV52301,BA.1.15,envelope protein,75,Mexico,2022-02-02,2022,2,2
WAV52302,BA.1.15,membrane glycoprotein,222,Mexico,2022-02-02,2022,2,2
WAV52303,BA.1.15,ORF6 protein,61,Mexico,2022-02-02,2022,2,2
WAV52304,BA.1.15,ORF7a protein,121,Mexico,2022-02-02,2022,2,2
WAV52305,BA.1.15,ORF7b protein,43,Mexico,2022-02-02,2022,2,2
WAV52306,BA.1.15,ORF8 protein,121,Mexico,2022-02-02,2022,2,2
WAV52307,BA.1.15,nucleocapsid phosphoprotein,416,Mexico,2022-02-02,2022,2,2
WAV52308,BA.1.15,ORF10 protein,38,Mexico,2022-02-02,2022,2,2
WAV52835,BA.1,ORF1ab polyprotein,7093,Mexico,2022-02-02,2022,2,2
WAV52836,BA.1,ORF1a polyprotein,4402,Mexico,2022-02-02,2022,2,2
WAV52837,BA.1,surface glycoprotein,1266,Mexico,2022-02-02,2022,2,2
WAV52838,BA.1,ORF3a protein,275,Mexico,2022-02-02,2022,2,2
WAV52839,BA.1,envelope protein,75,Mexico,2022-02-02,2022,2,2
WAV52840,BA.1,membrane glycoprotein,222,Mexico,2022-02-02,2022,2,2
WAV52841,BA.1,ORF6 protein,61,Mexico,2022-02-02,2022,2,2
WAV52842,BA.1,ORF7a protein,121,Mexico,2022-02-02,2022,2,2
WAV52843,BA.1,ORF7b protein,43,Mexico,2022-02-02,2022,2,2
WAV52844,BA.1,ORF8 protein,121,Mexico,2022-02-02,2022,2,2
WAV52845,BA.1,nucleocapsid phosphoprotein,416,Mexico,2022-02-02,2022,2,2
WAV52846,BA.1,ORF10 protein,38,Mexico,2022-02-02,2022,2,2
WAV52931,BA.1.1.14,ORF1ab polyprotein,7093,Mexico,2022-02-03,2022,2,3
WAV52932,BA.1.1.14,ORF1a polyprotein,4402,Mexico,2022-02-03,2022,2,3
WAV52933,BA.1.1.14,surface glycoprotein,1266,Mexico,2022-02-03,2022,2,3
WAV52934,BA.1.1.14,ORF3a protein,275,Mexico,2022-02-03,2022,2,3
WAV52935,BA.1.1.14,envelope protein,75,Mexico,2022-02-03,2022,2,3
WAV52936,BA.1.1.14,membrane glycoprotein,222,Mexico,2022-02-03,2022,2,3
WAV52937,BA.1.1.14,ORF6 protein,61,Mexico,2022-02-03,2022,2,3
WAV52938,BA.1.1.14,ORF7a protein,121,Mexico,2022-02-03,2022,2,3
WAV52939,BA.1.1.14,ORF7b protein,43,Mexico,2022-02-03,2022,2,3
WAV52940,BA.1.1.14,ORF8 protein,121,Mexico,2022-02-03,2022,2,3
WAV52941,BA.1.1.14,nucleocapsid phosphoprotein,416,Mexico,2022-02-03,2022,2,3
WAV52942,BA.1.1.14,ORF10 protein,38,Mexico,2022-02-03,2022,2,3
