Accession,Pangolin,Protein,Length,Country,Collection_Date,Year,Month,Day
WAQ35452,B.1.525,ORF10 protein,38,Nigeria,2021-01-17,2021,1,17
WAQ35453,L.3,ORF1ab polyprotein,7096,Nigeria,2021-01-14,2021,1,14
WAQ35454,L.3,ORF1a polyprotein,4405,Nigeria,2021-01-14,2021,1,14
WAQ35455,L.3,surface glycoprotein,1273,Nigeria,2021-01-14,2021,1,14
WAQ35456,L.3,ORF3a protein,275,Nigeria,2021-01-14,2021,1,14
WAQ35457,L.3,envelope protein,75,Nigeria,2021-01-14,2021,1,14
WAQ35458,L.3,membrane glycoprotein,222,Nigeria,2021-01-14,2021,1,14
WAQ35459,L.3,ORF6 protein,61,Nigeria,2021-01-14,2021,1,14
WAQ35460,L.3,ORF7a protein,121,Nigeria,2021-01-14,2021,1,14
WAQ35461,L.3,ORF7b protein,43,Nigeria,2021-01-14,2021,1,14
WAQ35462,L.3,ORF8 protein,121,Nigeria,2021-01-14,2021,1,14
WAQ35463,L.3,nucleocapsid phosphoprotein,419,Nigeria,2021-01-14,2021,1,14
WAQ35464,L.3,ORF10 protein,38,Nigeria,2021-01-14,2021,1,14
WAQ35838,B.1.525,ORF1ab polyprotein,7093,Nigeria,2021-04-16,2021,4,16
WAQ35839,B.1.525,ORF1a polyprotein,4402,Nigeria,2021-04-16,2021,4,16
WAQ35840,B.1.525,surface glycoprotein,1270,Nigeria,2021-04-16,2021,4,16
WAQ35841,B.1.525,ORF3a protein,275,Nigeria,2021-04-16,2021,4,16
WAQ35842,B.1.525,envelope protein,75,Nigeria,2021-04-16,2021,4,16
WAQ35843,B.1.525,membrane glycoprotein,222,Nigeria,2021-04-16,2021,4,16
WAQ35844,B.1.525,ORF6 protein,60,Nigeria,2021-04-16,2021,4,16
WAQ35845,B.1.525,ORF7a protein,121,Nigeria,2021-04-16,2021,4,16
WAQ35846,B.1.525,ORF7b protein,43,Nigeria,2021-04-16,2021,4,16
WAQ35847,B.1.525,ORF8 protein,121,Nigeria,2021-04-16,2021,4,16
WAQ35848,B.1.525,nucleocapsid phosphoprotein,418,Nigeria,2021-04-16,2021,4,16
WAQ35849,B.1.525,ORF10 protein,38,Nigeria,2021-04-16,2021,4,16
WAQ35961,B.1.1,ORF1ab polyprotein,7096,Nigeria,2020-06-01,2020,6,1
WAQ35962,B.1.1,ORF1a polyprotein,4405,Nigeria,2020-06-01,2020,6,1
WAQ35963,B.1.1,surface glycoprotein,1273,Nigeria,2020-06-01,2020,6,1
WAQ35964,B.1.1,ORF3a protein,275,Nigeria,2020-06-01,2020,6,1
WAQ35965,B.1.1,envelope protein,75,Nigeria,2020-06-01,2020,6,1
WAQ35966,B.1.1,membrane glycoprotein,222,Nigeria,2020-06-01,2020,6,1
WAQ35967,B.1.1,ORF6 protein,61,Nigeria,2020-06-01,2020,6,1
WAQ35968,B.1.1,ORF7a protein,121,Nigeria,2020-06-01,2020,6,1
WAQ35969,B.1.1,ORF7b protein,43,Nigeria,2020-06-01,2020,6,1
WAQ35970,B.1.1,ORF8 protein,121,Nigeria,2020-06-01,2020,6,1
WAQ35971,B.1.1,nucleocapsid phosphoprotein,419,Nigeria,2020-06-01,2020,6,1
WAQ35972,B.1.1,ORF10 protein,38,Nigeria,2020-06-01,2020,6,1
WAQ35985,A,ORF1ab polyprotein,7096,Nigeria,2020-03-29,2020,3,29
WAQ35986,A,ORF1a polyprotein,4405,Nigeria,2020-03-29,2020,3,29
WAQ35987,A,surface glycoprotein,1273,Nigeria,2020-03-29,2020,3,29
WAQ35988,A,ORF3a protein,275,Nigeria,2020-03-29,2020,3,29
WAQ35989,A,envelope protein,75,Nigeria,2020-03-29,2020,3,29
WAQ35990,A,membrane glycoprotein,222,Nigeria,2020-03-29,2020,3,29
WAQ35991,A,ORF6 protein,61,Nigeria,2020-03-29,2020,3,29
WAQ35992,A,ORF7a protein,121,Nigeria,2020-03-29,2020,3,29
WAQ35993,A,ORF7b protein,43,Nigeria,2020-03-29,2020,3,29
WAQ35994,A,ORF8 protein,121,Nigeria,2020-03-29,2020,3,29
WAQ35995,A,nucleocapsid phosphoprotein,419,Nigeria,2020-03-29,2020,3,29
WAQ35996,A,ORF10 protein,38,Nigeria,2020-03-29,2020,3,29
WAQ36039,B.1.525,ORF1ab polyprotein,7093,Nigeria,2021-03-15,2021,3,15
WAQ36040,B.1.525,ORF1a polyprotein,4402,Nigeria,2021-03-15,2021,3,15
WAQ36041,B.1.525,surface glycoprotein,1267,Nigeria,2021-03-15,2021,3,15
WAQ36042,B.1.525,ORF3a protein,275,Nigeria,2021-03-15,2021,3,15
WAQ36043,B.1.525,envelope protein,75,Nigeria,2021-03-15,2021,3,15
WAQ36044,B.1.525,membrane glycoprotein,222,Nigeria,2021-03-15,2021,3,15
WAQ36045,B.1.525,ORF6 protein,60,Nigeria,2021-03-15,2021,3,15
WAQ36046,B.1.525,ORF7a protein,121,Nigeria,2021-03-15,2021,3,15
WAQ36047,B.1.525,ORF7b protein,43,Nigeria,2021-03-15,2021,3,15
WAQ36048,B.1.525,ORF8 protein,121,Nigeria,2021-03-15,2021,3,15
WAQ36049,B.1.525,nucleocapsid phosphoprotein,418,Nigeria,2021-03-15,2021,3,15
WAQ36050,B.1.525,ORF10 protein,38,Nigeria,2021-03-15,2021,3,15
WAQ36663,B.1,ORF1ab polyprotein,7096,Nigeria,2020-05-12,2020,5,12
WAQ36664,B.1,ORF1a polyprotein,4405,Nigeria,2020-05-12,2020,5,12
WAQ36665,B.1,surface glycoprotein,1273,Nigeria,2020-05-12,2020,5,12
WAQ36666,B.1,ORF3a protein,275,Nigeria,2020-05-12,2020,5,12
WAQ36667,B.1,envelope protein,75,Nigeria,2020-05-12,2020,5,12
WAQ36668,B.1,membrane glycoprotein,222,Nigeria,2020-05-12,2020,5,12
WAQ36669,B.1,ORF6 protein,61,Nigeria,2020-05-12,2020,5,12
WAQ36670,B.1,ORF7a protein,121,Nigeria,2020-05-12,2020,5,12
WAQ36671,B.1,ORF7b protein,43,Nigeria,2020-05-12,2020,5,12
WAQ36672,B.1,ORF8 protein,121,Nigeria,2020-05-12,2020,5,12
WAQ36673,B.1,nucleocapsid phosphoprotein,419,Nigeria,2020-05-12,2020,5,12
WAQ36674,B.1,ORF10 protein,38,Nigeria,2020-05-12,2020,5,12
WAQ36834,B.1,ORF1ab polyprotein,7096,Nigeria,2020-06-10,2020,6,10
WAQ36835,B.1,ORF1a polyprotein,4405,Nigeria,2020-06-10,2020,6,10
WAQ36836,B.1,surface glycoprotein,1273,Nigeria,2020-06-10,2020,6,10
WAQ36837,B.1,ORF3a protein,275,Nigeria,2020-06-10,2020,6,10
WAQ36838,B.1,envelope protein,75,Nigeria,2020-06-10,2020,6,10
WAQ36839,B.1,membrane glycoprotein,222,Nigeria,2020-06-10,2020,6,10
WAQ36840,B.1,ORF6 protein,61,Nigeria,2020-06-10,2020,6,10
WAQ36841,B.1,ORF7a protein,121,Nigeria,2020-06-10,2020,6,10
WAQ36842,B.1,ORF7b protein,41,Nigeria,2020-06-10,2020,6,10
WAQ36843,B.1,ORF8 protein,121,Nigeria,2020-06-10,2020,6,10
WAQ36844,B.1,nucleocapsid phosphoprotein,419,Nigeria,2020-06-10,2020,6,10
WAQ36845,B.1,ORF10 protein,38,Nigeria,2020-06-10,2020,6,10
WAQ36906,B.1.1.1,ORF1ab polyprotein,7096,Nigeria,2020-06-09,2020,6,9
WAQ36907,B.1.1.1,ORF1a polyprotein,4405,Nigeria,2020-06-09,2020,6,9
WAQ36908,B.1.1.1,surface glycoprotein,1273,Nigeria,2020-06-09,2020,6,9
WAQ36909,B.1.1.1,ORF3a protein,275,Nigeria,2020-06-09,2020,6,9
WAQ36910,B.1.1.1,envelope protein,75,Nigeria,2020-06-09,2020,6,9
WAQ36911,B.1.1.1,membrane glycoprotein,222,Nigeria,2020-06-09,2020,6,9
WAQ36912,B.1.1.1,ORF6 protein,61,Nigeria,2020-06-09,2020,6,9
WAQ36913,B.1.1.1,ORF7a protein,121,Nigeria,2020-06-09,2020,6,9
WAQ36914,B.1.1.1,ORF7b protein,43,Nigeria,2020-06-09,2020,6,9
WAQ36915,B.1.1.1,ORF8 protein,121,Nigeria,2020-06-09,2020,6,9
WAQ36916,B.1.1.1,nucleocapsid phosphoprotein,419,Nigeria,2020-06-09,2020,6,9
WAQ36917,B.1.1.1,ORF10 protein,38,Nigeria,2020-06-09,2020,6,9
WAQ36918,B.40,ORF1ab polyprotein,7096,Nigeria,2020-03-21,2020,3,21
WAQ36919,B.40,ORF1a polyprotein,4405,Nigeria,2020-03-21,2020,3,21
WAQ36920,B.40,surface glycoprotein,1273,Nigeria,2020-03-21,2020,3,21
WAQ36921,B.40,ORF3a protein,275,Nigeria,2020-03-21,2020,3,21
WAQ36922,B.40,envelope protein,75,Nigeria,2020-03-21,2020,3,21
WAQ36923,B.40,membrane glycoprotein,222,Nigeria,2020-03-21,2020,3,21
WAQ36924,B.40,ORF6 protein,61,Nigeria,2020-03-21,2020,3,21
WAQ36925,B.40,ORF7a protein,121,Nigeria,2020-03-21,2020,3,21
WAQ36926,B.40,ORF7b protein,43,Nigeria,2020-03-21,2020,3,21
WAQ36927,B.40,ORF8 protein,121,Nigeria,2020-03-21,2020,3,21
WAQ36928,B.40,nucleocapsid phosphoprotein,419,Nigeria,2020-03-21,2020,3,21
WAQ36929,B.40,ORF10 protein,38,Nigeria,2020-03-21,2020,3,21
WAQ36990,B.1,ORF1ab polyprotein,7096,Nigeria,2020-03-25,2020,3,25
WAQ36991,B.1,ORF1a polyprotein,4405,Nigeria,2020-03-25,2020,3,25
WAQ36992,B.1,surface glycoprotein,1273,Nigeria,2020-03-25,2020,3,25
WAQ36993,B.1,ORF3a protein,275,Nigeria,2020-03-25,2020,3,25
WAQ36994,B.1,envelope protein,75,Nigeria,2020-03-25,2020,3,25
WAQ36995,B.1,membrane glycoprotein,222,Nigeria,2020-03-25,2020,3,25
WAQ36996,B.1,ORF6 protein,61,Nigeria,2020-03-25,2020,3,25
WAQ36997,B.1,ORF7a protein,121,Nigeria,2020-03-25,2020,3,25
WAQ36998,B.1,ORF7b protein,43,Nigeria,2020-03-25,2020,3,25
WAQ36999,B.1,ORF8 protein,121,Nigeria,2020-03-25,2020,3,25
WAQ37000,B.1,nucleocapsid phosphoprotein,419,Nigeria,2020-03-25,2020,3,25
WAQ37001,B.1,ORF10 protein,38,Nigeria,2020-03-25,2020,3,25
WAQ37002,B.1,ORF1ab polyprotein,7096,Nigeria,2021-06-28,2021,6,28
WAQ37003,B.1,ORF1a polyprotein,4405,Nigeria,2021-06-28,2021,6,28
WAQ37004,B.1,surface glycoprotein,1273,Nigeria,2021-06-28,2021,6,28
WAQ37005,B.1,ORF3a protein,275,Nigeria,2021-06-28,2021,6,28
WAQ37006,B.1,envelope protein,75,Nigeria,2021-06-28,2021,6,28
WAQ37007,B.1,membrane glycoprotein,222,Nigeria,2021-06-28,2021,6,28
WAQ37008,B.1,ORF6 protein,61,Nigeria,2021-06-28,2021,6,28
WAQ37009,B.1,ORF7a protein,121,Nigeria,2021-06-28,2021,6,28
WAQ37010,B.1,ORF7b protein,43,Nigeria,2021-06-28,2021,6,28
WAQ37011,B.1,ORF8 protein,121,Nigeria,2021-06-28,2021,6,28
WAQ37012,B.1,nucleocapsid phosphoprotein,419,Nigeria,2021-06-28,2021,6,28
WAQ37013,B.1,ORF10 protein,38,Nigeria,2021-06-28,2021,6,28
WAQ37014,B.1,ORF1ab polyprotein,7096,Nigeria,2021-07-10,2021,7,10
WAQ37015,B.1,ORF1a polyprotein,4405,Nigeria,2021-07-10,2021,7,10
WAQ37016,B.1,surface glycoprotein,1273,Nigeria,2021-07-10,2021,7,10
WAQ37017,B.1,ORF3a protein,275,Nigeria,2021-07-10,2021,7,10
WAQ37018,B.1,envelope protein,75,Nigeria,2021-07-10,2021,7,10
WAQ37019,B.1,membrane glycoprotein,222,Nigeria,2021-07-10,2021,7,10
WAQ37020,B.1,ORF6 protein,61,Nigeria,2021-07-10,2021,7,10
WAQ37021,B.1,ORF7a protein,121,Nigeria,2021-07-10,2021,7,10
WAQ37022,B.1,ORF7b protein,43,Nigeria,2021-07-10,2021,7,10
WAQ37023,B.1,ORF8 protein,121,Nigeria,2021-07-10,2021,7,10
WAQ37024,B.1,nucleocapsid phosphoprotein,419,Nigeria,2021-07-10,2021,7,10
WAQ37025,B.1,ORF10 protein,38,Nigeria,2021-07-10,2021,7,10
WAQ37038,B.1.1,ORF1ab polyprotein,7096,Nigeria,2020-04-18,2020,4,18
WAQ37039,B.1.1,ORF1a polyprotein,4405,Nigeria,2020-04-18,2020,4,18
WAQ37040,B.1.1,surface glycoprotein,1273,Nigeria,2020-04-18,2020,4,18
WAQ37041,B.1.1,ORF3a protein,275,Nigeria,2020-04-18,2020,4,18
WAQ37042,B.1.1,envelope protein,75,Nigeria,2020-04-18,2020,4,18
WAQ37043,B.1.1,membrane glycoprotein,222,Nigeria,2020-04-18,2020,4,18
WAQ37044,B.1.1,ORF6 protein,61,Nigeria,2020-04-18,2020,4,18
WAQ37045,B.1.1,ORF7a protein,121,Nigeria,2020-04-18,2020,4,18
WAQ37046,B.1.1,ORF7b protein,43,Nigeria,2020-04-18,2020,4,18
WAQ37047,B.1.1,ORF8 protein,121,Nigeria,2020-04-18,2020,4,18
WAQ37048,B.1.1,nucleocapsid phosphoprotein,419,Nigeria,2020-04-18,2020,4,18
WAQ37049,B.1.1,ORF10 protein,38,Nigeria,2020-04-18,2020,4,18
WAQ37050,B.1.336,ORF1ab polyprotein,7096,Nigeria,2020-06-10,2020,6,10
WAQ37051,B.1.336,ORF1a polyprotein,4405,Nigeria,2020-06-10,2020,6,10
WAQ37052,B.1.336,surface glycoprotein,1273,Nigeria,2020-06-10,2020,6,10
WAQ37053,B.1.336,ORF3a protein,275,Nigeria,2020-06-10,2020,6,10
WAQ37054,B.1.336,envelope protein,75,Nigeria,2020-06-10,2020,6,10
WAQ37055,B.1.336,membrane glycoprotein,222,Nigeria,2020-06-10,2020,6,10
WAQ37056,B.1.336,ORF6 protein,61,Nigeria,2020-06-10,2020,6,10
WAQ37057,B.1.336,ORF7a protein,121,Nigeria,2020-06-10,2020,6,10
WAQ37058,B.1.336,ORF7b protein,43,Nigeria,2020-06-10,2020,6,10
WAQ37059,B.1.336,ORF8 protein,121,Nigeria,2020-06-10,2020,6,10
WAQ37060,B.1.336,nucleocapsid phosphoprotein,418,Nigeria,2020-06-10,2020,6,10
WAQ37061,B.1.336,ORF10 protein,38,Nigeria,2020-06-10,2020,6,10
WAQ37254,B.1.1.71,ORF1ab polyprotein,7096,Nigeria,2020-06-16,2020,6,16
WAQ37255,B.1.1.71,ORF1a polyprotein,4405,Nigeria,2020-06-16,2020,6,16
WAQ37256,B.1.1.71,surface glycoprotein,1273,Nigeria,2020-06-16,2020,6,16
WAQ37257,B.1.1.71,ORF3a protein,275,Nigeria,2020-06-16,2020,6,16
WAQ37258,B.1.1.71,envelope protein,75,Nigeria,2020-06-16,2020,6,16
WAQ37259,B.1.1.71,membrane glycoprotein,222,Nigeria,2020-06-16,2020,6,16
WAQ37260,B.1.1.71,ORF6 protein,61,Nigeria,2020-06-16,2020,6,16
WAQ37261,B.1.1.71,ORF7a protein,121,Nigeria,2020-06-16,2020,6,16
WAQ37262,B.1.1.71,ORF7b protein,43,Nigeria,2020-06-16,2020,6,16
WAQ37263,B.1.1.71,ORF8 protein,121,Nigeria,2020-06-16,2020,6,16
WAQ37264,B.1.1.71,nucleocapsid phosphoprotein,419,Nigeria,2020-06-16,2020,6,16
WAQ37265,B.1.1.71,ORF10 protein,38,Nigeria,2020-06-16,2020,6,16
WAQ37338,B.1.1,ORF1ab polyprotein,7096,Nigeria,2020-05-04,2020,5,4
WAQ37339,B.1.1,ORF1a polyprotein,4405,Nigeria,2020-05-04,2020,5,4
WAQ37340,B.1.1,surface glycoprotein,1273,Nigeria,2020-05-04,2020,5,4
WAQ37341,B.1.1,ORF3a protein,275,Nigeria,2020-05-04,2020,5,4
WAQ37342,B.1.1,envelope protein,75,Nigeria,2020-05-04,2020,5,4
WAQ37343,B.1.1,membrane glycoprotein,222,Nigeria,2020-05-04,2020,5,4
WAQ37344,B.1.1,ORF6 protein,61,Nigeria,2020-05-04,2020,5,4
WAQ37345,B.1.1,ORF7a protein,121,Nigeria,2020-05-04,2020,5,4
WAQ37346,B.1.1,ORF7b protein,43,Nigeria,2020-05-04,2020,5,4
WAQ37347,B.1.1,ORF8 protein,121,Nigeria,2020-05-04,2020,5,4
WAQ37348,B.1.1,nucleocapsid phosphoprotein,419,Nigeria,2020-05-04,2020,5,4
WAQ37349,B.1.1,ORF10 protein,38,Nigeria,2020-05-04,2020,5,4
WAQ37362,B.1.462,ORF1ab polyprotein,7096,Nigeria,2020-04-20,2020,4,20
WAQ37363,B.1.462,ORF1a polyprotein,4405,Nigeria,2020-04-20,2020,4,20
WAQ37364,B.1.462,surface glycoprotein,1273,Nigeria,2020-04-20,2020,4,20
WAQ37365,B.1.462,ORF3a protein,275,Nigeria,2020-04-20,2020,4,20
WAQ37366,B.1.462,envelope protein,75,Nigeria,2020-04-20,2020,4,20
WAQ37367,B.1.462,membrane glycoprotein,222,Nigeria,2020-04-20,2020,4,20
WAQ37368,B.1.462,ORF6 protein,61,Nigeria,2020-04-20,2020,4,20
WAQ37369,B.1.462,ORF7a protein,121,Nigeria,2020-04-20,2020,4,20
WAQ37370,B.1.462,ORF7b protein,43,Nigeria,2020-04-20,2020,4,20
WAQ37371,B.1.462,ORF8 protein,121,Nigeria,2020-04-20,2020,4,20
WAQ37372,B.1.462,nucleocapsid phosphoprotein,419,Nigeria,2020-04-20,2020,4,20
WAQ37373,B.1.462,ORF10 protein,38,Nigeria,2020-04-20,2020,4,20
WAQ37398,B.1.1.484,ORF1ab polyprotein,7096,Nigeria,2020-06-01,2020,6,1
WAQ37399,B.1.1.484,ORF1a polyprotein,4405,Nigeria,2020-06-01,2020,6,1
WAQ37400,B.1.1.484,surface glycoprotein,1273,Nigeria,2020-06-01,2020,6,1
WAQ37401,B.1.1.484,ORF3a protein,275,Nigeria,2020-06-01,2020,6,1
WAQ37402,B.1.1.484,envelope protein,75,Nigeria,2020-06-01,2020,6,1
WAQ37403,B.1.1.484,membrane glycoprotein,222,Nigeria,2020-06-01,2020,6,1
WAQ37404,B.1.1.484,ORF6 protein,61,Nigeria,2020-06-01,2020,6,1
WAQ37405,B.1.1.484,ORF7a protein,121,Nigeria,2020-06-01,2020,6,1
WAQ37406,B.1.1.484,ORF7b protein,43,Nigeria,2020-06-01,2020,6,1
WAQ37407,B.1.1.484,ORF8 protein,121,Nigeria,2020-06-01,2020,6,1
WAQ37408,B.1.1.484,nucleocapsid phosphoprotein,419,Nigeria,2020-06-01,2020,6,1
WAQ37409,B.1.1.484,ORF10 protein,38,Nigeria,2020-06-01,2020,6,1
WAQ37410,B.1.467,ORF1ab polyprotein,7096,Nigeria,2020-06-02,2020,6,2
WAQ37411,B.1.467,ORF1a polyprotein,4405,Nigeria,2020-06-02,2020,6,2
WAQ37412,B.1.467,surface glycoprotein,1273,Nigeria,2020-06-02,2020,6,2
WAQ37413,B.1.467,ORF3a protein,275,Nigeria,2020-06-02,2020,6,2
WAQ37414,B.1.467,envelope protein,75,Nigeria,2020-06-02,2020,6,2
WAQ37415,B.1.467,membrane glycoprotein,222,Nigeria,2020-06-02,2020,6,2
WAQ37416,B.1.467,ORF6 protein,61,Nigeria,2020-06-02,2020,6,2
WAQ37417,B.1.467,ORF7a protein,121,Nigeria,2020-06-02,2020,6,2
WAQ37418,B.1.467,ORF7b protein,43,Nigeria,2020-06-02,2020,6,2
WAQ37419,B.1.467,ORF8 protein,121,Nigeria,2020-06-02,2020,6,2
WAQ37420,B.1.467,nucleocapsid phosphoprotein,419,Nigeria,2020-06-02,2020,6,2
WAQ37421,B.1.467,ORF10 protein,38,Nigeria,2020-06-02,2020,6,2
WAQ37434,B.1.1.484,ORF1ab polyprotein,7096,Nigeria,2020-05-31,2020,5,31
WAQ37435,B.1.1.484,ORF1a polyprotein,4405,Nigeria,2020-05-31,2020,5,31
WAQ37436,B.1.1.484,surface glycoprotein,1273,Nigeria,2020-05-31,2020,5,31
WAQ37437,B.1.1.484,ORF3a protein,275,Nigeria,2020-05-31,2020,5,31
WAQ37438,B.1.1.484,envelope protein,75,Nigeria,2020-05-31,2020,5,31
WAQ37439,B.1.1.484,membrane glycoprotein,222,Nigeria,2020-05-31,2020,5,31
WAQ37440,B.1.1.484,ORF6 protein,61,Nigeria,2020-05-31,2020,5,31
WAQ37441,B.1.1.484,ORF7a protein,121,Nigeria,2020-05-31,2020,5,31
WAQ37442,B.1.1.484,ORF7b protein,43,Nigeria,2020-05-31,2020,5,31
WAQ37443,B.1.1.484,ORF8 protein,121,Nigeria,2020-05-31,2020,5,31
WAQ37444,B.1.1.484,nucleocapsid phosphoprotein,419,Nigeria,2020-05-31,2020,5,31
WAQ37445,B.1.1.484,ORF10 protein,38,Nigeria,2020-05-31,2020,5,31
WAQ37458,B.1.467,ORF1ab polyprotein,7096,Nigeria,2020-07-05,2020,7,5
WAQ37459,B.1.467,ORF1a polyprotein,4405,Nigeria,2020-07-05,2020,7,5
WAQ37460,B.1.467,surface glycoprotein,1273,Nigeria,2020-07-05,2020,7,5
WAQ37461,B.1.467,ORF3a protein,275,Nigeria,2020-07-05,2020,7,5
WAQ37462,B.1.467,envelope protein,75,Nigeria,2020-07-05,2020,7,5
WAQ37463,B.1.467,membrane glycoprotein,222,Nigeria,2020-07-05,2020,7,5
WAQ37464,B.1.467,ORF6 protein,61,Nigeria,2020-07-05,2020,7,5
WAQ37465,B.1.467,ORF7a protein,121,Nigeria,2020-07-05,2020,7,5
WAQ37466,B.1.467,ORF7b protein,43,Nigeria,2020-07-05,2020,7,5
WAQ37467,B.1.467,ORF8 protein,121,Nigeria,2020-07-05,2020,7,5
WAQ37468,B.1.467,nucleocapsid phosphoprotein,419,Nigeria,2020-07-05,2020,7,5
WAQ37469,B.1.467,ORF10 protein,38,Nigeria,2020-07-05,2020,7,5
WAQ37470,B.1.462,ORF1ab polyprotein,7096,Nigeria,2020-07-02,2020,7,2
WAQ37471,B.1.462,ORF1a polyprotein,4405,Nigeria,2020-07-02,2020,7,2
WAQ37472,B.1.462,surface glycoprotein,1273,Nigeria,2020-07-02,2020,7,2
WAQ37473,B.1.462,ORF3a protein,275,Nigeria,2020-07-02,2020,7,2
WAQ37474,B.1.462,envelope protein,75,Nigeria,2020-07-02,2020,7,2
WAQ37475,B.1.462,membrane glycoprotein,222,Nigeria,2020-07-02,2020,7,2
WAQ37476,B.1.462,ORF6 protein,61,Nigeria,2020-07-02,2020,7,2
WAQ37477,B.1.462,ORF7a protein,121,Nigeria,2020-07-02,2020,7,2
WAQ37478,B.1.462,ORF7b protein,43,Nigeria,2020-07-02,2020,7,2
WAQ37479,B.1.462,ORF8 protein,121,Nigeria,2020-07-02,2020,7,2
WAQ37480,B.1.462,nucleocapsid phosphoprotein,419,Nigeria,2020-07-02,2020,7,2
WAQ37481,B.1.462,ORF10 protein,38,Nigeria,2020-07-02,2020,7,2
WAQ37482,B.1.1,ORF1ab polyprotein,7096,Nigeria,2020-07-07,2020,7,7
WAQ37483,B.1.1,ORF1a polyprotein,4405,Nigeria,2020-07-07,2020,7,7
WAQ37484,B.1.1,surface glycoprotein,1273,Nigeria,2020-07-07,2020,7,7
WAQ37485,B.1.1,ORF3a protein,275,Nigeria,2020-07-07,2020,7,7
WAQ37486,B.1.1,envelope protein,75,Nigeria,2020-07-07,2020,7,7
WAQ37487,B.1.1,membrane glycoprotein,222,Nigeria,2020-07-07,2020,7,7
WAQ37488,B.1.1,ORF6 protein,61,Nigeria,2020-07-07,2020,7,7
WAQ37489,B.1.1,ORF7a protein,121,Nigeria,2020-07-07,2020,7,7
WAQ37490,B.1.1,ORF7b protein,43,Nigeria,2020-07-07,2020,7,7
WAQ37491,B.1.1,ORF8 protein,121,Nigeria,2020-07-07,2020,7,7
WAQ37492,B.1.1,nucleocapsid phosphoprotein,419,Nigeria,2020-07-07,2020,7,7
WAQ37493,B.1.1,ORF10 protein,38,Nigeria,2020-07-07,2020,7,7
WAQ37506,L.3,ORF1ab polyprotein,7096,Nigeria,2020-07-08,2020,7,8
WAQ37507,L.3,ORF1a polyprotein,4405,Nigeria,2020-07-08,2020,7,8
WAQ37508,L.3,surface glycoprotein,1273,Nigeria,2020-07-08,2020,7,8
WAQ37509,L.3,ORF3a protein,275,Nigeria,2020-07-08,2020,7,8
WAQ37510,L.3,envelope protein,75,Nigeria,2020-07-08,2020,7,8
WAQ37511,L.3,membrane glycoprotein,222,Nigeria,2020-07-08,2020,7,8
WAQ37512,L.3,ORF6 protein,61,Nigeria,2020-07-08,2020,7,8
WAQ37513,L.3,ORF7a protein,121,Nigeria,2020-07-08,2020,7,8
WAQ37514,L.3,ORF7b protein,43,Nigeria,2020-07-08,2020,7,8
WAQ37515,L.3,ORF8 protein,121,Nigeria,2020-07-08,2020,7,8
WAQ37516,L.3,nucleocapsid phosphoprotein,419,Nigeria,2020-07-08,2020,7,8
WAQ37517,L.3,ORF10 protein,38,Nigeria,2020-07-08,2020,7,8
WAQ37541,B.1,ORF1ab polyprotein,7096,Nigeria,2020-04-10,2020,4,10
WAQ37542,B.1,ORF1a polyprotein,4405,Nigeria,2020-04-10,2020,4,10
WAQ37543,B.1,surface glycoprotein,1273,Nigeria,2020-04-10,2020,4,10
WAQ37544,B.1,ORF3a protein,275,Nigeria,2020-04-10,2020,4,10
